epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6495,2.01125,2.17824,1.17492,0.42999,0.21558,0.2069,0.05153,2.75395,43.3416,1.2485,0.000664659,0.000664659,0.000664659
2,162.703,1.96503,1.06058,1.20694,0.7459,0.63431,0.67903,0.24124,2.34599,1.48705,1.10676,0.00131815,0.00131815,0.00131815
3,231.88,1.90622,0.98685,1.18489,0.73476,0.59932,0.65524,0.25748,2.23095,1.63673,1.04631,0.00195843,0.00195843,0.00195843
4,300.226,1.85645,0.92211,1.15786,0.64285,0.47334,0.49675,0.18421,2.85176,1.93169,1.23444,0.0019406,0.0019406,0.0019406
5,368.993,1.82816,0.89845,1.13748,0.70876,0.73611,0.74223,0.29771,2.15424,1.34267,1.02549,0.0019208,0.0019208,0.0019208
6,437.55,1.79673,0.83212,1.12035,0.77376,0.6693,0.73856,0.28963,2.14717,1.22145,1.02713,0.001901,0.001901,0.001901
7,506.433,1.82104,0.84795,1.12966,0.64462,0.40632,0.51152,0.1984,2.46517,1.99174,1.10069,0.0018812,0.0018812,0.0018812
8,574.802,1.78396,0.83557,1.1353,0.83977,0.41986,0.46328,0.1762,2.43529,3.04899,1.14081,0.0018614,0.0018614,0.0018614
9,643.372,1.75479,0.78616,1.10273,0.87924,0.83821,0.87083,0.37183,2.02919,0.93154,0.99793,0.0018416,0.0018416,0.0018416
10,711.955,1.77113,0.789,1.10589,0.92896,0.87359,0.89026,0.36546,2.02668,0.9823,0.99542,0.0018218,0.0018218,0.0018218
11,780.594,1.73699,0.76032,1.09717,0.59929,0.57449,0.59214,0.22375,2.3254,1.91876,1.082,0.001802,0.001802,0.001802
12,849.178,1.73712,0.76373,1.09186,0.83706,0.81377,0.83811,0.35904,2.02704,0.9694,0.9823,0.0017822,0.0017822,0.0017822
13,917.991,1.72396,0.7427,1.09991,0.83448,0.79571,0.84286,0.34101,2.12468,0.98117,1.0123,0.0017624,0.0017624,0.0017624
14,986.839,1.71354,0.72763,1.07978,0.9158,0.83473,0.85962,0.37555,2.0042,0.97133,0.99345,0.0017426,0.0017426,0.0017426
15,1055.43,1.71328,0.71212,1.0743,0.89441,0.73251,0.83729,0.36193,2.01126,1.15879,0.98482,0.0017228,0.0017228,0.0017228
16,1124.03,1.67787,0.70908,1.07283,0.91438,0.81377,0.85721,0.36622,2.08529,1.00841,1.00506,0.001703,0.001703,0.001703
17,1192.6,1.68129,0.71172,1.06755,0.90171,0.78894,0.85875,0.36403,1.98005,1.04444,0.97891,0.0016832,0.0016832,0.0016832
18,1261.35,1.68307,0.72508,1.06753,0.9347,0.84007,0.86913,0.37876,2.00275,0.99775,0.9899,0.0016634,0.0016634,0.0016634
19,1329.88,1.6888,0.71799,1.06923,0.84046,0.79079,0.84419,0.36593,2.01621,0.9307,0.98594,0.0016436,0.0016436,0.0016436
20,1398.62,1.64621,0.68608,1.0656,0.91989,0.82943,0.87741,0.37855,2.00516,0.92303,0.98148,0.0016238,0.0016238,0.0016238
21,1467.34,1.68867,0.71715,1.07564,0.82871,0.78084,0.83245,0.35091,2.06419,0.98046,0.9869,0.001604,0.001604,0.001604
22,1535.85,1.65128,0.69763,1.07024,0.91527,0.8386,0.86738,0.3837,2.02385,0.92341,0.98867,0.0015842,0.0015842,0.0015842
23,1604.42,1.68149,0.68486,1.06617,0.9171,0.84908,0.89591,0.39324,1.97525,0.90131,0.97381,0.0015644,0.0015644,0.0015644
24,1673.27,1.65949,0.69128,1.0614,0.53631,0.51826,0.50721,0.17389,2.71019,1.71189,1.1892,0.0015446,0.0015446,0.0015446
