case_index,case_category,sequence_id,sample_id,top1_error,plot_path
1,WORST_ERROR,seq0005,seq0005_valref_000471,91.53533935546875,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/01_worst_error_seq0005_valref_000471.png
2,WORST_ERROR,seq0005,seq0005_valref_000470,91.40477752685547,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/02_worst_error_seq0005_valref_000470.png
3,WORST_ERROR,seq0005,seq0005_valref_000469,91.32872009277344,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/03_worst_error_seq0005_valref_000469.png
4,WORST_ERROR,seq0005,seq0005_valref_000466,91.08455657958984,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/04_worst_error_seq0005_valref_000466.png
5,WORST_ERROR,seq0005,seq0005_valref_000463,90.89231872558594,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/05_worst_error_seq0005_valref_000463.png
6,WORST_ERROR,seq0004,seq0004_valref_000359,78.3857650756836,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/06_worst_error_seq0004_valref_000359.png
7,WORST_ERROR,seq0004,seq0004_valref_000357,78.35645294189453,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/07_worst_error_seq0004_valref_000357.png
8,WORST_ERROR,seq0008,seq0008_valref_000799,67.29985809326172,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/08_worst_error_seq0008_valref_000799.png
9,WORST_ERROR,seq0004,seq0004_valref_000315,63.21643829345703,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/09_worst_error_seq0004_valref_000315.png
10,WORST_ERROR,seq0004,seq0004_valref_000304,62.50901412963867,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/10_worst_error_seq0004_valref_000304.png
11,RANKING_FAIL,seq0001,seq0001_valref_000001,60.33219528198242,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/11_ranking_fail_seq0001_valref_000001.png
12,RANKING_FAIL,seq0006,seq0006_valref_000508,59.67166519165039,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/12_ranking_fail_seq0006_valref_000508.png
13,RANKING_FAIL,seq0006,seq0006_valref_000503,57.564048767089844,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/13_ranking_fail_seq0006_valref_000503.png
14,RANKING_FAIL,seq0006,seq0006_valref_000504,57.54668426513672,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/14_ranking_fail_seq0006_valref_000504.png
15,RANKING_FAIL,seq0006,seq0006_valref_000513,57.126590728759766,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/15_ranking_fail_seq0006_valref_000513.png
16,NO_CURRENT_SUPPORT,seq0008,seq0008_valref_000701,62.3467903137207,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/16_no_current_support_seq0008_valref_000701.png
17,NO_CURRENT_SUPPORT,seq0008,seq0008_valref_000702,56.3089485168457,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/17_no_current_support_seq0008_valref_000702.png
18,NO_CURRENT_SUPPORT,seq0002,seq0002_valref_000102,47.644535064697266,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/18_no_current_support_seq0002_valref_000102.png
19,NO_CURRENT_SUPPORT,seq0002,seq0002_valref_000101,47.64065170288086,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/19_no_current_support_seq0002_valref_000101.png
20,NO_CURRENT_SUPPORT,seq0004,seq0004_valref_000362,30.23225212097168,/home/jasoncui/projects/rdq-uav-experiment/outputs/own_multimodal_research/lidar_uav_v1/pilot_3epoch_seed42/failure_audit/case_studies/20_no_current_support_seq0004_valref_000362.png
