sequence_id,sample_id,t0,gt_x,gt_y,gt_z,pred_x,pred_y,pred_z,top1_error,empty_input,empty_output,top1_success_0p5m,top1_success_1m,top1_success_2m,raw_top10_has_gt_0p5m,raw_top10_has_gt_1m,nms_top10_has_gt_0p5m,nms_top10_has_gt_1m,best_raw_candidate_error,best_nms_candidate_error,top1_score,best_gt_near_candidate_score,best_gt_near_candidate_rank,event_count,total_point_count,avia_point_count,mid360_point_count,history_span_sec,oldest_event_age_sec,newest_event_age_sec,num_support_events_0p5m,num_support_events_1m,num_support_events_2m,num_support_points_0p5m,num_support_points_1m,num_support_points_2m,last_support_timestamp_1m,last_support_age_sec_1m,last_support_event_index,last_support_sensor,num_support_events_in_last4,num_support_points_in_last4,history_has_any_support,current_support,exported_support_flag,flag_empty_input,flag_no_history_support,flag_stale_history_support,flag_candidate_exists_ranking_fail,flag_nms_removed_good_candidate,flag_current_support_generation_fail,primary_failure_type
seq0001,seq0001_valref_000001,1706255621.6135716,-0.7519720196723938,-1.2679959535598755,2.1726019382476807,-51.6171875,-17.69140625,30.154296875,60.33219528198242,False,False,False,False,False,True,True,True,True,0.16681072115898132,0.16681072115898132,0.0966796875,0.0849609375,4,1,4111,0,4111,0.0,0.013344526290893555,0.013344526290893555,1,1,1,2,31,31,1706255621.600227,0.013344526290893555,0,Mid360,1,31,True,True,CURRENT_SUPPORT,False,False,False,True,False,False,CANDIDATE_EXISTS_RANKING_FAIL
seq0001,seq0001_valref_000097,1706255626.612978,-1.4116530418395996,1.5384470224380493,2.1526360511779785,-8.474609375,6.2706298828125,1.828125,8.507891654968262,False,False,False,False,False,True,True,True,True,0.13951654732227325,0.13951654732227325,0.90625,0.71484375,7,20,42774,16,42758,0.9139420986175537,1.0127110481262207,0.09876894950866699,0,10,10,0,177,177,1706255626.500272,0.11270594596862793,18,Mid360,2,32,True,True,CURRENT_SUPPORT,False,False,False,True,False,False,CANDIDATE_EXISTS_RANKING_FAIL
seq0001,seq0001_valref_000098,1706255626.812695,-1.3387149572372437,1.6025669574737549,2.1504249572753906,-8.490234375,6.318359375,1.89453125,8.570204734802246,False,False,False,False,False,True,True,True,True,0.0634952113032341,0.0634952113032341,0.875,0.1259765625,9,20,42774,16,42758,0.9139420986175537,1.212428092956543,0.29848599433898926,0,10,10,0,176,177,1706255626.500272,0.3124229907989502,18,Mid360,2,32,True,True,CURRENT_SUPPORT,False,False,False,True,False,False,CANDIDATE_EXISTS_RANKING_FAIL
seq0001,seq0001_valref_000099,1706255626.858342,-1.3250360488891602,1.613036036491394,2.1509780883789062,-8.501953125,6.3291015625,1.9140625,8.591014862060547,False,False,False,False,False,True,True,True,True,0.06711515039205551,0.06711515039205551,0.84765625,0.058349609375,10,20,42774,16,42758,0.9139420986175537,1.2580749988555908,0.3441329002380371,0,10,10,0,176,177,1706255626.500272,0.35806989669799805,18,Mid360,2,32,True,True,CURRENT_SUPPORT,False,False,False,True,False,False,CANDIDATE_EXISTS_RANKING_FAIL
seq0002,seq0002_valref_000101,1706255054.4340742,13.420022010803223,-15.942671775817871,39.374942779541016,-7.958984375,-0.6943359375,-0.375,47.64065170288086,False,False,False,False,False,False,False,False,False,45.763587951660156,41.681983947753906,0.1337890625,nan,,2,4413,0,4413,0.017401933670043945,0.0339961051940918,0.01659417152404785,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT,False,True,False,False,False,False,NO_HISTORY_SUPPORT
seq0002,seq0002_valref_000102,1706255054.4867957,13.509367942810059,-15.97374153137207,39.37639236450195,-7.9521484375,-0.70068359375,-0.32421875,47.644535064697266,False,False,False,False,False,False,False,False,False,41.676753997802734,41.676753997802734,0.09521484375,nan,,2,4413,0,4413,0.017401933670043945,0.08671760559082031,0.06931567192077637,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT,False,True,False,False,False,False,NO_HISTORY_SUPPORT
seq0004,seq0004_valref_000302,1706257436.9499311,-4.7490692138671875,7.808938026428223,4.853124141693115,-23.9423828125,-3.9208984375,19.658203125,26.92884635925293,False,False,False,False,False,False,False,False,False,13.800317764282227,13.800317764282227,0.04736328125,nan,,2,4267,0,4267,0.0030879974365234375,0.05016922950744629,0.04708123207092285,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT,False,True,False,False,False,False,NO_HISTORY_SUPPORT
seq0004,seq0004_valref_000303,1706257436.99808,-4.788221836090088,7.861423969268799,4.8288068771362305,-11.26385498046875,19.7381591796875,7.21875,13.736903190612793,False,False,False,False,False,False,False,False,False,13.736903190612793,13.736903190612793,0.0272216796875,nan,,2,4267,0,4267,0.0030879974365234375,0.09831809997558594,0.0952301025390625,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT,False,True,False,False,False,False,NO_HISTORY_SUPPORT
seq0004,seq0004_valref_000304,1706257437.0507002,-4.8283491134643555,7.916347980499268,4.803595066070557,-6.53515625,-54.529296875,2.56640625,62.50901412963867,False,False,False,False,False,False,False,False,False,12.848857879638672,12.848857879638672,0.1083984375,nan,,4,8858,0,8858,0.1020660400390625,0.1509382724761963,0.04887223243713379,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT,False,True,False,False,False,False,NO_HISTORY_SUPPORT
seq0004,seq0004_valref_000305,1706257437.1009853,-4.867366790771484,7.970365047454834,4.776495933532715,11.873046875,4.93359375,2.984375,17.107749938964844,False,False,False,False,False,False,False,False,False,17.107749938964844,17.107749938964844,0.126953125,nan,,5,13277,0,13277,0.2001171112060547,0.20122337341308594,0.00110626220703125,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT,False,True,False,False,False,False,NO_HISTORY_SUPPORT
