sequence_id,catastrophic_count,run_count,singleton_run_count,max_run_length,median_run_length,run_lengths
seq0001,4,2,1,3,2.0,1;3
seq0002,2,1,0,2,2.0,2
seq0003,0,0,0,0,0.0,
seq0004,26,4,1,16,4.5,16;1;4;5
seq0005,29,7,2,14,3.0,2;14;1;1;3;4;4
seq0006,14,1,0,14,14.0,14
seq0007,0,0,0,0,0.0,
seq0008,15,2,0,13,7.5,2;13
seq0009,0,0,0,0,0.0,
seq0010,0,0,0,0,0.0,
seq0011,0,0,0,0,0.0,
seq0012,0,0,0,0,0.0,
seq0013,0,0,0,0,0.0,
seq0014,0,0,0,0,0.0,
seq0015,0,0,0,0,0.0,
seq0016,0,0,0,0,0.0,
