sequence_id,validation_samples,current_support_rate,history_any_support_rate,empty_input_rate,median_total_point_count,avia_point_fraction,median_event_count,median_history_span_sec,mean_last_support_age_sec,p90_last_support_age_sec,p95_last_support_age_sec,top1_success_1m,catastrophic_count,catastrophic_rate,candidate_exists_ranking_fail_count,nms_removed_good_candidate_count,generation_fail_count,current_support_generation_fail_count
seq0001,100,0.99,0.99,0.01,42412.0,0.00630580985143438,20.0,0.9139420986175537,0.03993285786021839,0.06413888931274414,0.07270874977111816,0.95,4,0.04,4,0,0,0
seq0002,100,0.0,0.0,0.01,43647.0,0.0004421159111705764,20.0,0.9173719882965088,nan,nan,nan,0.79,2,0.02,0,0,2,0
seq0003,100,0.97,0.97,0.03,45807.5,1.9569650988899053e-05,20.0,0.9019958972930908,0.06744441789450105,0.09935965538024903,0.1505650520324707,0.95,0,0.0,0,0,0,0
seq0004,100,0.64,0.82,0.02,46011.5,0.0,20.0,0.9019050598144531,0.13681742621631157,0.25469365119934084,0.29944955110549926,0.67,26,0.26,10,0,16,0
seq0005,100,0.95,0.99,0.01,44759.0,1.0061297843618474e-05,20.0,0.9018750190734863,0.09081661099135274,0.19649791717529297,0.19883356094360352,0.7,29,0.29,20,0,9,9
seq0006,100,0.99,0.99,0.01,48988.0,0.02757935017695524,20.0,0.9003100395202637,0.035543875260786575,0.062128353118896494,0.07256128787994384,0.85,14,0.14,11,0,3,3
seq0007,100,0.96,0.98,0.02,48666.0,9.26282072806234e-06,20.0,0.9002759456634521,0.05589126324167057,0.1551129102706909,0.15763102769851683,0.98,0,0.0,0,0,0,0
seq0008,100,0.93,0.97,0.01,48769.0,0.0,20.0,0.9002430438995361,0.05339353109143444,0.1059005737304688,0.15554852485656737,0.78,15,0.15,4,0,11,9
seq0009,100,0.97,0.98,0.02,42914.0,1.545995690794678e-05,20.0,0.9032689332962036,0.07376126123934376,0.1532620191574096,0.17234708070755003,0.98,0,0.0,0,0,0,0
seq0010,100,0.99,0.99,0.01,42962.0,0.006118163755606949,20.0,0.9030039310455322,0.05348728883146035,0.07908048629760742,0.0797844648361206,0.99,0,0.0,0,0,0,0
seq0011,100,0.99,0.99,0.01,41116.5,0.010151509971360119,20.0,0.9030458927154541,0.06226219312109128,0.08186802864074709,0.14083058834075904,0.99,0,0.0,0,0,0,0
seq0012,100,0.59,0.62,0.01,41355.0,0.012920235856378219,20.0,0.9030599594116211,0.07254266738891602,0.12005958557128901,0.17712911367416365,0.83,0,0.0,0,0,0,0
seq0013,100,0.98,0.98,0.02,38539.0,5.715790130042886e-05,20.0,0.9055469036102295,0.03473949432373047,0.06242094039916992,0.06499111652374268,0.98,0,0.0,0,0,0,0
seq0014,100,0.99,0.99,0.01,39748.5,0.013403717733963741,20.0,0.9056801795959473,0.03689293668727682,0.06835508346557617,0.07309186458587645,0.97,0,0.0,0,0,0,0
seq0015,100,0.98,0.98,0.02,39884.0,0.008895490860735364,20.0,0.9065151214599609,0.03913150758159404,0.06931509971618652,0.07221313714981077,0.97,0,0.0,0,0,0,0
seq0016,100,0.99,0.99,0.01,58367.0,0.0017689209109469717,20.0,1.100074052810669,0.07087367231195624,0.0987009048461914,0.15852880477905273,0.99,0,0.0,0,0,0,0
