sequence_id,sample_id,t0,gt_x,gt_y,gt_z,pred_x,pred_y,pred_z,top1_error,empty_input,empty_output,top1_success_0p5m,top1_success_1m,top1_success_2m,raw_top10_has_gt_0p5m,raw_top10_has_gt_1m,nms_top10_has_gt_0p5m,nms_top10_has_gt_1m,best_raw_candidate_error,best_nms_candidate_error,top1_score,best_gt_near_candidate_score,best_gt_near_candidate_rank,event_count,total_point_count,avia_point_count,mid360_point_count,history_span_sec,oldest_event_age_sec,newest_event_age_sec,num_support_events_0p5m,num_support_events_1m,num_support_events_2m,num_support_points_0p5m,num_support_points_1m,num_support_points_2m,last_support_timestamp_1m,last_support_age_sec_1m,last_support_event_index,last_support_sensor,num_support_events_in_last4,num_support_points_in_last4,history_has_any_support,current_support,exported_support_flag
seq0001,seq0001_valref_000000,1706255621.564602,-0.7345520257949829,-1.2626270055770874,2.174375057220459,nan,nan,nan,nan,True,True,False,False,False,False,False,False,False,nan,nan,nan,nan,,0,0,0,0,nan,nan,nan,0,0,0,0,0,0,nan,nan,,,0,0,False,False,NO_CURRENT_SUPPORT
seq0001,seq0001_valref_000001,1706255621.6135716,-0.7519720196723938,-1.2679959535598755,2.1726019382476807,-51.6171875,-17.69140625,30.154296875,60.33219528198242,False,False,False,False,False,True,True,True,True,0.16681072115898132,0.16681072115898132,0.0966796875,0.0849609375,4,1,4111,0,4111,0.0,0.013344526290893555,0.013344526290893555,1,1,1,2,31,31,1706255621.600227,0.013344526290893555,0,Mid360,1,31,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000002,1706255621.6631424,-0.7688279747962952,-1.2720999717712402,2.1714839935302734,-0.38671875,-1.130859375,2.111328125,0.4117949604988098,False,False,True,True,True,True,True,True,True,0.26343050599098206,0.4117949604988098,0.98828125,0.98828125,1,2,4216,105,4111,0.014011859893798828,0.06291532516479492,0.048903465270996094,2,2,2,19,126,135,1706255621.614239,0.048903465270996094,1,Avia,2,126,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000003,1706255621.7146702,-0.8007190227508545,-1.2773070335388184,2.170245885848999,-0.513671875,-1.0859375,2.142578125,0.34609806537628174,False,False,True,True,True,True,True,True,True,0.14571772515773773,0.34609806537628174,0.98828125,0.98828125,1,4,8176,153,8023,0.11396384239196777,0.11444306373596191,0.0004792213439941406,4,4,4,41,204,214,1706255621.714191,0.0004792213439941406,3,Avia,4,204,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000004,1706255621.7612548,-0.8162630200386047,-1.2784899473190308,2.1702721118927,-0.5078125,-1.0673828125,2.1484375,0.374412477016449,False,False,True,True,True,True,True,True,True,0.18267802894115448,0.374412477016449,0.98828125,0.98828125,1,4,8176,153,8023,0.11396384239196777,0.1610276699066162,0.04706382751464844,4,4,4,32,204,214,1706255621.714191,0.04706382751464844,3,Avia,4,204,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000005,1706255621.8131719,-0.8320599794387817,-1.2786519527435303,2.1703009605407715,-0.603515625,-1.1025390625,2.12890625,0.2914820611476898,False,False,True,True,True,True,True,True,True,0.17623910307884216,0.2914820611476898,0.984375,0.984375,1,5,12153,153,12000,0.20000982284545898,0.21294474601745605,0.01293492317199707,4,5,5,26,246,256,1706255621.800237,0.01293492317199707,4,Mid360,4,215,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000006,1706255621.8600023,-0.8479400277137756,-1.2773619890213013,2.1706979274749756,-0.6484375,-1.18359375,2.134765625,0.2233492136001587,False,False,True,True,True,True,True,True,True,0.20163138210773468,0.2233492136001587,0.984375,0.984375,1,6,12190,190,12000,0.21403884887695312,0.25977516174316406,0.04573631286621094,5,6,6,24,283,293,1706255621.814266,0.04573631286621094,5,Avia,4,157,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000007,1706255621.913219,-0.8622729778289795,-1.2751330137252808,2.1717920303344727,-0.64453125,-1.0986328125,2.1875,0.280732125043869,False,False,True,True,True,True,True,True,True,0.20267850160598755,0.280732125043869,0.984375,0.984375,1,7,16313,190,16123,0.2999229431152344,0.3129918575286865,0.013068914413452148,5,7,7,21,328,338,1706255621.90015,0.013068914413452148,6,Mid360,4,171,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000008,1706255621.9637177,-0.8884000182151794,-1.268193006515503,2.1740190982818604,-0.623046875,-1.115234375,2.203125,0.3076618015766144,False,False,True,True,True,True,True,True,True,0.24863950908184052,0.3076618015766144,0.98046875,0.98046875,1,8,16327,204,16123,0.3139817714691162,0.36349058151245117,0.04950881004333496,6,8,8,18,342,352,1706255621.914209,0.04950881004333496,7,Avia,4,138,True,True,CURRENT_SUPPORT
seq0001,seq0001_valref_000009,1706255622.0144038,-0.90208899974823,-1.262434959411621,2.1751298904418945,-0.7789306640625,-1.05078125,2.119140625,0.25119727849960327,False,False,True,True,True,True,True,True,True,0.16746582090854645,0.25119727849960327,0.98828125,0.98828125,1,10,20296,209,20087,0.41298580169677734,0.41417670249938965,0.0011909008026123047,6,10,10,17,383,393,1706255622.013213,0.0011909008026123047,9,Avia,4,100,True,True,CURRENT_SUPPORT
