sequence_id,samples,raw_recall_at_1_0.5m,raw_recall_at_1_1m,raw_recall_at_1_2m,raw_recall_at_5_0.5m,raw_recall_at_5_1m,raw_recall_at_5_2m,raw_recall_at_10_0.5m,raw_recall_at_10_1m,raw_recall_at_10_2m,raw_recall_at_20_0.5m,raw_recall_at_20_1m,raw_recall_at_20_2m,raw_top1_success_0.5m,raw_top1_success_1m,raw_top1_success_2m,raw_coverage,raw_top1_error_mean,raw_top1_error_median,raw_top1_error_p90,raw_top1_error_p95,raw_oracle_top10_error,nms_recall_at_1_0.5m,nms_recall_at_1_1m,nms_recall_at_1_2m,nms_recall_at_5_0.5m,nms_recall_at_5_1m,nms_recall_at_5_2m,nms_recall_at_10_0.5m,nms_recall_at_10_1m,nms_recall_at_10_2m,nms_recall_at_20_0.5m,nms_recall_at_20_1m,nms_recall_at_20_2m,nms_top1_success_0.5m,nms_top1_success_1m,nms_top1_success_2m,nms_coverage,nms_top1_error_mean,nms_top1_error_median,nms_top1_error_p90,nms_top1_error_p95,nms_oracle_top10_error
seq0001,100,0.91,0.95,0.95,0.96,0.96,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.91,0.95,0.95,0.99,1.1356240337846255,0.27869513630867004,0.46865310668945315,0.6070095717906951,inf,0.91,0.95,0.95,0.95,0.99,0.99,0.95,0.99,0.99,0.95,0.99,0.99,0.91,0.95,0.95,0.99,1.1356240337846255,0.27869513630867004,0.46865310668945315,0.6070095717906951,inf
seq0002,100,0.27,0.79,0.97,0.34,0.82,0.97,0.34,0.82,0.97,0.34,0.82,0.97,0.27,0.79,0.97,0.99,1.6548836493130885,0.6476025581359863,1.2021761894226075,1.2848674416542052,inf,0.27,0.79,0.97,0.27,0.79,0.97,0.27,0.79,0.97,0.27,0.79,0.97,0.27,0.79,0.97,0.99,1.6548836493130885,0.6476025581359863,1.2021761894226075,1.2848674416542052,inf
seq0003,100,0.74,0.95,0.97,0.87,0.97,0.97,0.87,0.97,0.97,0.87,0.97,0.97,0.74,0.95,0.97,0.97,0.3465397773099314,0.25062042474746704,0.7265866398811341,0.8214410066604613,inf,0.74,0.95,0.97,0.74,0.95,0.97,0.74,0.95,0.97,0.74,0.95,0.97,0.74,0.95,0.97,0.97,0.3465397773099314,0.25062042474746704,0.7265866398811341,0.8214410066604613,inf
seq0004,100,0.5,0.67,0.72,0.65,0.81,0.82,0.66,0.81,0.82,0.66,0.81,0.82,0.5,0.67,0.72,0.98,9.222245261909402,0.47696830332279205,29.69242820739746,36.39468250274658,inf,0.5,0.67,0.72,0.61,0.78,0.82,0.61,0.78,0.82,0.61,0.78,0.82,0.5,0.67,0.72,0.98,9.222245261909402,0.47696830332279205,29.69242820739746,36.39468250274658,inf
seq0005,100,0.54,0.7,0.7,0.68,0.83,0.83,0.74,0.9,0.9,0.81,0.97,0.97,0.54,0.7,0.7,0.99,12.11539297957312,0.43619343638420105,29.967244720458986,58.32418670654276,inf,0.54,0.7,0.7,0.65,0.85,0.85,0.71,0.92,0.92,0.75,0.98,0.98,0.54,0.7,0.7,0.99,12.11539297957312,0.43619343638420105,29.967244720458986,58.32418670654276,inf
seq0006,100,0.72,0.85,0.85,0.91,0.91,0.91,0.96,0.96,0.96,0.99,0.99,0.99,0.72,0.85,0.85,0.99,5.662033806997116,0.255239874124527,23.785571670532228,57.16860008239746,inf,0.72,0.85,0.85,0.85,0.93,0.93,0.89,0.97,0.97,0.91,0.99,0.99,0.72,0.85,0.85,0.99,5.662033806997116,0.255239874124527,23.785571670532228,57.16860008239746,inf
seq0007,100,0.85,0.98,0.98,0.94,0.98,0.98,0.94,0.98,0.98,0.94,0.98,0.98,0.85,0.98,0.98,0.98,0.29332970599738917,0.2748049795627594,0.539556485414505,0.5977905243635172,inf,0.85,0.98,0.98,0.85,0.98,0.98,0.85,0.98,0.98,0.85,0.98,0.98,0.85,0.98,0.98,0.98,0.29332970599738917,0.2748049795627594,0.539556485414505,0.5977905243635172,inf
seq0008,100,0.62,0.78,0.84,0.64,0.79,0.86,0.68,0.82,0.88,0.78,0.86,0.91,0.62,0.78,0.84,0.99,5.77415929960482,0.3399162292480469,27.28707389831543,35.384042739868164,inf,0.62,0.78,0.84,0.63,0.79,0.86,0.67,0.83,0.89,0.72,0.88,0.93,0.62,0.78,0.84,0.99,5.77415929960482,0.3399162292480469,27.28707389831543,35.384042739868164,inf
seq0009,100,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.2151331757100261,0.20697512477636337,0.2975790590047836,0.3264907956123351,inf,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.2151331757100261,0.20697512477636337,0.2975790590047836,0.3264907956123351,inf
seq0010,100,0.81,0.99,0.99,0.97,0.99,0.99,0.97,0.99,0.99,0.97,0.99,0.99,0.81,0.99,0.99,0.99,0.3841056373685297,0.36654132604599,0.5407228112220764,0.6494133055210113,inf,0.81,0.99,0.99,0.81,0.99,0.99,0.81,0.99,0.99,0.81,0.99,0.99,0.81,0.99,0.99,0.99,0.3841056373685297,0.36654132604599,0.5407228112220764,0.6494133055210113,inf
