level,child_count,parent_count,unique_occupancy_patterns,patterns
L0_to_L1,1,6282,8,00000001;00000010;00000100;00001000;00010000;00100000;01000000;10000000
L0_to_L1,2,3879,28,00000011;00000101;00000110;00001001;00001010;00001100;00010001;00010010;00010100;00011000;00100001;00100010;00100100;00101000;00110000;01000001;01000010;01000100;01001000;01010000;01100000;10000001;10000010;10000100;10001000;10010000;10100000;11000000
L0_to_L1,3,1928,49,00000111;00001011;00001101;00001110;00010011;00010101;00011001;00011010;00011100;00100011;00100110;00101001;00101010;00101100;00110001;00110010;00111000;01000011;01000101;01000110;01001001;01001010;01001100;01010001;01010010;01010100;01011000;01100001;01100010;01100100;01101000;01110000;10000011;10000101;10001001;10001010;10001100;10010010;10011000;10100001;10100010;10101000;10110000;11000001;11000010;11000100;11001000;11010000;11100000
L0_to_L1,4,1828,51,00001111;00010111;00011011;00101011;00101110;00110011;00110101;00110110;00111001;00111010;00111100;01000111;01001011;01001101;01001110;01010101;01010110;01011001;01011010;01011100;01100011;01100110;01101100;01110001;01110010;01110100;01111000;10001011;10010011;10011001;10100011;10100101;10101010;10101100;10110001;10110010;10111000;11000011;11000101;11000110;11001001;11001010;11001100;11010010;11010100;11011000;11100001;11100010;11100100;11101000;11110000
L0_to_L1,5,278,40,00011111;00101111;00110111;00111011;00111101;00111110;01001111;01010111;01011011;01011101;01011110;01100111;01101110;01110011;01110101;01111100;10001111;10010111;10011011;10011101;10101101;10101110;10110011;10111001;10111010;11001011;11001101;11001110;11010011;11010101;11010110;11011001;11011010;11011100;11100011;11101010;11101100;11110010;11110100;11111000
L0_to_L1,6,166,19,00111111;01011111;01110111;01111011;01111101;01111110;10101111;10111011;10111110;11001111;11010111;11011101;11011110;11100111;11101011;11101110;11110011;11111010;11111100
L0_to_L1,7,41,7,01111111;10111111;11011111;11101111;11110111;11111011;11111110
L0_to_L1,8,7,1,11111111
L1_to_L2,1,2226,8,00000001;00000010;00000100;00001000;00010000;00100000;01000000;10000000
L1_to_L2,2,1641,27,00000011;00000101;00000110;00001001;00001010;00001100;00010001;00010010;00010100;00011000;00100001;00100010;00100100;00101000;00110000;01000001;01000100;01001000;01010000;01100000;10000001;10000010;10000100;10001000;10010000;10100000;11000000
L1_to_L2,3,776,42,00000111;00001011;00001101;00001110;00010011;00010101;00011001;00011010;00100011;00100110;00101010;00110001;00110010;00110100;01000011;01000101;01001100;01010001;01010010;01010100;01011000;01100010;01101000;01110000;10000011;10000101;10000110;10001001;10001010;10001100;10010010;10011000;10100001;10100010;10101000;10110000;11000001;11000010;11000100;11001000;11010000;11100000
L1_to_L2,4,1103,38,00001111;00011011;00011110;00101011;00101110;00110011;00111001;00111010;00111100;01000111;01001011;01001101;01010101;01010110;01011010;01011100;01100110;01101010;01110001;01110010;01110100;10001011;10001101;10011010;10101001;10101010;10101100;10110001;10110100;10111000;11000101;11000110;11001100;11010100;11011000;11100001;11100010;11110000
L1_to_L2,5,193,28,00011111;00101111;00110111;00111011;00111110;01010111;01011101;01101110;01110011;01110101;01111001;10001111;10101011;10110011;10110110;10111010;10111100;11001011;11001110;11010011;11011010;11011100;11100101;11101010;11101100;11110010;11110100;11111000
L1_to_L2,6,154,18,00111111;01011111;01101111;01110111;01111110;10101111;10110111;10111011;10111110;11001111;11011101;11101011;11101110;11110011;11110101;11110110;11111010;11111100
L1_to_L2,7,32,6,01111111;10111111;11011111;11110111;11111011;11111110
L1_to_L2,8,6,1,11111111
