level,pattern,occupied_slots,count,frequency
L0_to_L1,00001000,1,854,0.05926851273509612
L0_to_L1,00100000,1,854,0.05926851273509612
L0_to_L1,00000100,1,841,0.058366298841002154
L0_to_L1,00000010,1,791,0.054896245402179196
L0_to_L1,00000001,1,742,0.05149559303213269
L0_to_L1,01000000,1,738,0.05121798875702686
L0_to_L1,10000000,1,734,0.05094038448192102
L0_to_L1,00010000,1,728,0.05052397806926227
L0_to_L1,10101010,4,606,0.04205704767853425
L0_to_L1,01000100,2,340,0.023596363383996115
L0_to_L1,11000000,2,311,0.021583732389478798
L0_to_L1,00000101,2,309,0.02144493025192588
L0_to_L1,00010001,2,294,0.02040391422027899
L0_to_L1,00000011,2,284,0.0197099035325144
L0_to_L1,10100000,2,273,0.01894649177597335
L0_to_L1,00110000,2,267,0.018530085363314595
L0_to_L1,01010101,4,261,0.01811367895065584
L0_to_L1,00100010,2,250,0.01735026719411479
L0_to_L1,00110011,4,247,0.01714206398778541
L0_to_L1,00001010,2,227,0.015754042612256228
L0_to_L1,00001100,2,219,0.015198834062044555
L0_to_L1,10001000,2,212,0.01471302658060934
L0_to_L1,01010000,2,185,0.012839197723644944
L0_to_L1,11001100,4,167,0.01158997848566868
L0_to_L1,00001111,4,144,0.009993753903810118
L0_to_L1,11110000,4,123,0.008536331459504476
L0_to_L1,10001010,3,123,0.008536331459504476
L0_to_L1,10100010,3,115,0.007981122909292803
L0_to_L1,01000101,3,114,0.007911721840516344
L0_to_L1,10101000,3,105,0.007287112221528212
L0_to_L1,10110000,3,100,0.006940106877645916
L0_to_L1,00001011,3,89,0.006176695121104865
L0_to_L1,00101010,3,86,0.005968491914775487
L0_to_L1,00100001,2,83,0.0057602887084461105
L0_to_L1,00110001,3,79,0.005482684433340273
L0_to_L1,10000010,2,78,0.0054132833645638145
L0_to_L1,00010101,3,75,0.005205080158234437
L0_to_L1,11001000,3,74,0.005135679089457977
L0_to_L1,01010100,3,73,0.005066278020681519
L0_to_L1,00100011,3,72,0.004996876951905059
L0_to_L1,00001110,3,71,0.0049274758831286
L0_to_L1,01100000,2,70,0.004858074814352141
L0_to_L1,00101000,2,70,0.004858074814352141
L0_to_L1,00110010,3,64,0.004441668401693386
L0_to_L1,01010001,3,62,0.004302866264140468
L0_to_L1,11100000,3,61,0.0042334651953640084
L0_to_L1,00000110,2,59,0.00409466305781109
L0_to_L1,00001001,2,58,0.004025261989034631
L0_to_L1,00001101,3,58,0.004025261989034631
L0_to_L1,11000100,3,57,0.003955860920258172
L0_to_L1,00000111,3,56,0.003886459851481713
L0_to_L1,00010011,3,55,0.003817058782705254
L0_to_L1,11011101,6,50,0.003470053438822958
L0_to_L1,00010100,2,48,0.0033312513012700396
L0_to_L1,01001100,3,47,0.0032618502324935805
L0_to_L1,10001100,3,46,0.0031924491637171214
L0_to_L1,10000100,2,43,0.0029842459573877437
L0_to_L1,00010010,2,41,0.0028454438198348255
L0_to_L1,11010000,3,38,0.002637240613505448
L0_to_L1,01110000,3,36,0.0024984384759525295
L0_to_L1,10000001,2,33,0.002290235269623152
L0_to_L1,01000001,2,32,0.002220834200846693
L0_to_L1,10010000,2,31,0.002151433132070234
L0_to_L1,01001000,2,25,0.001735026719411479
L0_to_L1,11101000,4,25,0.001735026719411479
L0_to_L1,00111100,4,23,0.0015962245818585607
L0_to_L1,01000010,2,22,0.0015268235130821014
L0_to_L1,01011101,5,21,0.0014574224443056423
L0_to_L1,10000011,3,21,0.0014574224443056423
L0_to_L1,11110010,5,21,0.0014574224443056423
L0_to_L1,01001111,5,20,0.0013880213755291832
L0_to_L1,11111010,6,17,0.0011798181691998057
L0_to_L1,11001011,5,17,0.0011798181691998057
L0_to_L1,00111010,4,16,0.0011104171004233465
L0_to_L1,01011111,6,16,0.0011104171004233465
L0_to_L1,01011010,4,14,0.0009716149628704282
L0_to_L1,00111110,5,13,0.000902213894093969
L0_to_L1,00101100,3,13,0.000902213894093969
L0_to_L1,11111000,5,12,0.0008328128253175099
L0_to_L1,00101001,3,11,0.0007634117565410507
L0_to_L1,01100010,3,11,0.0007634117565410507
L0_to_L1,00110111,5,11,0.0007634117565410507
L0_to_L1,01100001,3,10,0.0006940106877645916
L0_to_L1,00011000,2,10,0.0006940106877645916
L0_to_L1,11001111,6,10,0.0006940106877645916
L0_to_L1,01011100,4,10,0.0006940106877645916
L0_to_L1,01110010,4,10,0.0006940106877645916
L0_to_L1,10001011,4,10,0.0006940106877645916
