step,total_loss,objectness_loss,spatial_xyz_loss,temporal_loss,spatial_median_error,temporal_median_error,positive_logit,best_negative_logit,objectness_margin,endpoint_spatial_supervised,endpoint_count,num_supervised_occurrences,num_temporal_supervised,grad_sbe_vqsa,grad_l0_spatial,grad_l2_spatial,grad_candidate_objectness,grad_candidate_xyz,grad_query_pool,grad_temporal_transformer,grad_temporal_xyz_head
0,26.854322028160095,1.1330065369606017,0.5232434809207916,24.67482852935791,70.26935958862305,49.18290901184082,-4.59019136428833,-4.569723844528198,-0.020467519760131836,4,4,10,32,,,,,,,,
10,26.434518325328828,1.1167942404747009,0.38290207386016845,24.55191993713379,0.8757674992084503,48.99993705749512,-4.528118133544922,-4.541255950927734,0.0131378173828125,4,4,10,32,0.00023772523854859173,0.025847172364592552,0.0011101075215265155,0.2695670425891876,2.030787467956543,0.00012407088070176542,0.029067927971482277,1.543522596359253
20,26.07555364370346,1.1031407117843628,0.27697437405586245,24.418464183807373,0.7449755370616913,48.794742584228516,-4.476041555404663,-4.5013638734817505,0.025322318077087402,4,4,10,32,0.00017983211728278548,0.018153058364987373,0.0008343363297171891,0.35361674427986145,2.911660671234131,0.00014622416347265244,0.05212781950831413,2.504214286804199
30,25.686640504002572,1.0880534172058105,0.19481685310602187,24.208953380584717,0.6248615384101868,48.46950912475586,-4.418969750404358,-4.458381772041321,0.03941202163696289,4,4,10,32,9.704441617941484e-05,0.0098267812281847,0.0005103922449052334,0.4513046145439148,3.2787089347839355,0.0001445835514459759,0.09356177598237991,4.029173851013184
40,25.199636366963386,1.0687662482261657,0.13144958764314651,23.867970943450928,0.5132875740528107,47.93399429321289,-4.346192836761475,-4.408428072929382,0.062235236167907715,4,4,10,32,5.687444354407489e-05,0.00647395383566618,0.0002977144322358072,0.5850330591201782,3.3139231204986572,0.0001158492814283818,0.15806281566619873,6.384903430938721
50,24.526948879659177,1.0456676721572875,0.08413478061556816,23.313011646270752,0.4107082784175873,47.05520248413086,-4.259131193161011,-4.353345632553101,0.09421443939208984,4,4,10,32,8.080655970843509e-05,0.006103338673710823,0.00022525656095240265,0.7522065043449402,3.09690260887146,9.54892166191712e-05,0.2529939115047455,9.934982299804688
60,23.556568948924543,1.0209124684333801,0.05296565517783165,22.429725170135498,0.325924888253212,45.66810417175293,-4.166183114051819,-4.29916775226593,0.13298463821411133,4,4,10,32,5.986313772154972e-05,0.0059229666367173195,0.0002811421290971339,0.928326427936554,2.7360706329345703,0.00010460781049914658,0.3945847749710083,15.13305950164795
70,22.14413117542863,0.9966553628444672,0.034360455349087715,21.078754901885986,0.2625642418861389,43.57453155517578,-4.075409531593323,-4.245558381080627,0.1701488494873047,4,4,10,32,5.264659193926491e-05,0.005403628572821617,0.0002626214409247041,1.0940452814102173,2.361567735671997,0.00010309898061677814,0.5884526371955872,22.493013381958008
80,20.149359498918056,0.9742538094520569,0.023757993429899215,19.1275897026062,0.21839313954114914,40.604867935180664,-3.9916955828666687,-4.191731929779053,0.20003634691238403,4,4,10,32,5.4793854360468686e-05,0.005462228320538998,0.00023946480359882116,1.2419553995132446,2.04805064201355,0.00010340115841245279,0.8329877853393555,32.38364791870117
90,17.448407055810094,0.9542203605175018,0.017735151387751103,16.45871639251709,0.18875721842050552,36.66632652282715,-3.9170300364494324,-4.1437742710113525,0.22674423456192017,4,4,10,32,5.487872476805933e-05,0.005901323165744543,0.0003338297246955335,1.370164155960083,1.8145612478256226,0.00011287823144812137,1.1299062967300415,45.0222282409668
