step,total_loss,objectness_loss,spatial_xyz_loss,temporal_loss,spatial_median_error,temporal_median_error,positive_logit,best_negative_logit,objectness_margin,endpoint_spatial_supervised,endpoint_count,num_supervised_occurrences,num_temporal_supervised,grad_sbe_vqsa,grad_l0_spatial,grad_l2_spatial,grad_candidate_objectness,grad_candidate_xyz,grad_query_pool,grad_temporal_transformer,grad_temporal_xyz_head
0,27.265364602208138,1.1339273676276207,0.3762842081487179,25.37886881828308,69.26398086547852,52.3474235534668,-4.59019136428833,-4.570996105670929,-0.019195258617401123,4,8,32,64,,,,,,,,
10,26.958281826227903,1.1211138516664505,0.29251968674361706,25.25212860107422,0.8313103318214417,52.167253494262695,-4.53894579410553,-4.535727143287659,-0.0032186508178710938,4,8,32,64,0.0002053892967524007,0.02037731371819973,0.0007584780105389655,0.1907719224691391,1.3579925298690796,0.00011214204278076068,0.02916080132126808,1.5839861631393433
20,26.66906299814582,1.1082287020981312,0.21803564205765724,25.124763011932373,0.7331620752811432,51.979387283325195,-4.487587332725525,-4.497920453548431,0.010333120822906494,4,8,32,64,0.00013361773744691163,0.014031535014510155,0.0005387050332501531,0.26625120639801025,1.9681594371795654,0.0001265757018700242,0.0521378330886364,2.4941904544830322
30,26.319990401621908,1.092048242688179,0.1518193136435002,24.92430353164673,0.6403702199459076,51.67951202392578,-4.42483651638031,-4.45029354095459,0.025457024574279785,4,8,32,64,8.877937943907455e-05,0.008728785440325737,0.0006818929687142372,0.3730260133743286,2.2641310691833496,0.00013911175483372062,0.09248466044664383,3.9349851608276367
40,25.863213397329673,1.0713305547833443,0.0987911670235917,24.594300508499146,0.5325863063335419,51.18038368225098,-4.346187233924866,-4.3890380859375,0.04285085201263428,4,8,32,64,7.374464621534571e-05,0.006589630153030157,0.000397928903112188,0.520822286605835,2.2239654064178467,0.00012519083975348622,0.1537669152021408,6.228786468505859
50,25.2435235993471,1.0479095615446568,0.06388863816391677,24.06783676147461,0.43578577041625977,50.37661170959473,-4.258344292640686,-4.321427285671234,0.0630829930305481,4,8,32,64,7.486928370781243e-05,0.005374617408961058,0.0001712506200419739,0.6934733986854553,1.9076035022735596,9.638604387873784e-05,0.24347564578056335,9.632035255432129
60,24.361919929389842,1.0234796479344368,0.044968775066081434,23.248502731323242,0.3691432923078537,49.13149833679199,-4.166630864143372,-4.253882586956024,0.08725172281265259,4,8,32,64,6.157180905574933e-05,0.005740702617913485,0.0002285243390360847,0.8692031502723694,1.4902886152267456,9.133618732448667e-05,0.37567710876464844,14.504711151123047
70,23.078982581500895,0.9994604755192995,0.03607295599067584,22.007376194000244,0.3297085464000702,47.270498275756836,-4.0760791301727295,-4.184504747390747,0.10842561721801758,4,8,32,64,6.372549978550524e-05,0.006328741554170847,0.00024520812439732254,1.0351946353912354,1.1443172693252563,0.00010052271682070568,0.5555914640426636,21.351303100585938
80,21.25800390279619,0.9771520998328924,0.03193352706148289,20.216984748840332,0.3059111088514328,44.63723182678223,-3.9914668798446655,-4.118776977062225,0.12731009721755981,4,8,32,64,6.521213072119281e-05,0.006469051353633404,0.0002473301428835839,1.1808651685714722,0.9213535189628601,0.0001118701184168458,0.7828695178031921,30.557655334472656
90,18.90702082158532,0.9571810960769653,0.02980870724422857,17.890222311019897,0.29253721237182617,41.135276794433594,-3.9156107306480408,-4.060141444206238,0.14453071355819702,4,8,32,64,5.0327387725701556e-05,0.006329212803393602,0.0003449074865784496,1.304553747177124,0.7934823632240295,0.00011532191274454817,0.8861563205718994,36.87765884399414
