source,sample_id,sequence_id,query_time,target_timestamp,target_valid,query_equals_target,event_count,oldest_event,newest_event,delta_t_max
train,seq0001_g000000,seq0001,1706255121.6059043,1706255121.6059043,True,True,0,,,
train,seq0003_g000122,seq0003,1706255169.0149689,1706255169.0149689,True,True,20,1706255168.017216,1706255169.000012,-0.014956951141357422
train,seq0005_g000245,seq0005,1706255216.9488084,1706255216.9488084,True,True,20,1706255215.800698,1706255216.916658,-0.0321505069732666
train,seq0008_g000367,seq0008,1706255286.003604,1706255286.003604,True,True,20,1706255285.016009,1706255286.000511,-0.0030930042266845703
train,seq0016_g000090,seq0016,1706255439.502599,1706255439.502599,True,True,20,1706255438.515274,1706255439.500042,-0.002557039260864258
train,seq0018_g000212,seq0018,1706255487.2026305,1706255487.2026305,True,True,20,1706255486.114658,1706255487.201036,-0.00159454345703125
train,seq0021_g000335,seq0021,1706255556.0137405,1706255556.0137405,True,True,20,1706255555.000725,1706255556.00062,-0.013120651245117188
train,seq0025_g000057,seq0025,1706254886.1278064,1706254886.1278064,True,True,20,1706254885.200103,1706254886.118472,-0.027660369873046875
train,seq0027_g000180,seq0027,1706254935.1826174,1706254935.1826174,True,True,20,1706254934.11897,1706254935.118993,-0.06362438201904297
train,seq0029_g000302,seq0029,1706254986.6382575,1706254986.6382575,True,True,20,1706254985.700695,1706254986.618326,-0.019931554794311523
train,seq0033_g000025,seq0033,1706257041.4373171,1706257041.4373171,True,True,20,1706257040.500572,1706257041.405131,-0.032186031341552734
train,seq0038_g000148,seq0038,1706257151.2953792,1706257151.2953792,True,True,20,1706257150.29994,1706257151.203894,-0.09148526191711426
train,seq0040_g000270,seq0040,1706257198.9888859,1706257198.9888859,True,True,20,1706257198.000107,1706257198.904395,-0.08449077606201172
train,seq0043_g000393,seq0043,1706257266.6937287,1706257266.6937287,True,True,20,1706257265.400716,1706257266.603693,-0.09003567695617676
train,seq0046_g000115,seq0046,1706257314.2628016,1706257314.2628016,True,True,20,1706257313.300556,1706257314.202241,-0.06056070327758789
train,seq0049_g000238,seq0049,1706257382.1152425,1706257382.1152425,True,True,20,1706257381.200144,1706257382.102418,-0.015093564987182617
train,seq0052_g000360,seq0052,1706257502.7024188,1706257502.7024188,True,True,20,1706257501.800994,1706257502.702162,-0.0002567768096923828
train,seq0057_g000083,seq0057,1706257590.59954,1706257590.59954,True,True,20,1706257589.600743,1706257590.501148,-0.09839200973510742
train,seq0061_g000005,seq0061,1706258190.6705196,1706258190.6705196,True,True,3,1706258190.498089,1706258190.597145,-0.07337450981140137
train,seq0063_g000128,seq0063,1706258238.2209623,1706258238.2209623,True,True,20,1706258237.297568,1706258238.200518,-0.020444393157958984
train,seq0069_g000250,seq0069,1706258528.4902773,1706258528.4902773,True,True,20,1706258527.19569,1706258528.400739,-0.0895383358001709
train,seq0071_g000373,seq0071,1706258575.8003182,1706258575.8003182,True,True,20,1706258574.800409,1706258575.795099,-0.005219221115112305
train,seq0074_g000096,seq0074,1706258660.5546026,1706258660.5546026,True,True,20,1706258659.595285,1706258660.499872,-0.05473065376281738
train,seq0077_g000218,seq0077,1706258728.2566278,1706258728.2566278,True,True,20,1706258727.294499,1706258728.199897,-0.05673074722290039
train,seq0080_g000341,seq0080,1706256056.058456,1706256056.058456,True,True,20,1706256055.010504,1706256056.010509,-0.047946929931640625
train,seq0083_g000063,seq0083,1706256138.1668835,1706256138.1668835,True,True,20,1706256137.20045,1706256138.110536,-0.05634737014770508
train,seq0086_g000186,seq0086,1706256206.5602996,1706256206.5602996,True,True,20,1706256205.600145,1706256206.509796,-0.06038355827331543
train,seq0089_g000308,seq0089,1706256524.4972544,1706256524.4972544,True,True,20,1706256523.49984,1706256524.407535,-0.09747743606567383
train,seq0094_g000031,seq0094,1706256637.8647022,1706256637.8647022,True,True,20,1706256636.900924,1706256637.807352,-0.05735015869140625
train,seq0096_g000153,seq0096,1706256686.1920085,1706256686.1920085,True,True,20,1706256685.106767,1706256686.106894,-0.0851144790649414
train,seq0099_g000276,seq0099,1706256755.4672651,1706256755.4672651,True,True,20,1706256754.500435,1706256755.40607,-0.06119513511657715
train,seq0102_g000399,seq0102,1706256823.628956,1706256823.628956,True,True,20,1706256822.7,1706256823.606418,-0.029137134552001953
val,seq0001_valref_000000,seq0001,1706255621.564602,1706255621.564602,True,True,0,,,
val,seq0001_valref_000051,seq0001,1706255624.1657264,1706255624.1657264,True,True,20,1706255623.200296,1706255624.114192,-0.051534414291381836
val,seq0002_valref_000103,seq0002,1706255054.534958,1706255054.534958,True,True,4,1706255054.400078,1706255054.517437,-0.017520904541015625
val,seq0002_valref_000154,seq0002,1706255057.1315417,1706255057.1315417,True,True,20,1706255056.200076,1706255057.117493,-0.031473636627197266
val,seq0003_valref_000206,seq0003,1706257432.0046492,1706257432.0046492,True,True,7,1706257431.701934,1706257432.001886,-0.0027632713317871094
val,seq0003_valref_000257,seq0003,1706257434.5515049,1706257434.5515049,True,True,20,1706257433.59979,1706257434.501807,-0.05171084403991699
val,seq0004_valref_000309,seq0004,1706257437.2978358,1706257437.2978358,True,True,8,1706257436.899762,1706257437.201838,-0.09796786308288574
val,seq0004_valref_000361,seq0004,1706257440.0005896,1706257440.0005896,True,True,20,1706257439.001842,1706257440.000006,-0.000583648681640625
val,seq0005_valref_000412,seq0005,1706257442.7000854,1706257442.7000854,True,True,13,1706257442.099887,1706257442.69995,-0.0001354217529296875
val,seq0005_valref_000464,seq0005,1706257445.3520887,1706257445.3520887,True,True,20,1706257444.39979,1706257445.301693,-0.05039572715759277
val,seq0006_valref_000515,seq0006,1706257648.405378,1706257648.405378,True,True,16,1706257647.700211,1706257648.400596,-0.004782199859619141
val,seq0006_valref_000567,seq0006,1706257651.05548,1706257651.05548,True,True,20,1706257650.100196,1706257651.00065,-0.054830074310302734
