stride,offset,query_index,sequence_id,sample_id,appearances
1,0,0,seq0001,seq0001_g000000,8
1,0,1,seq0001,seq0001_g000001,8
1,0,2,seq0001,seq0001_g000002,8
1,0,3,seq0001,seq0001_g000003,8
1,0,4,seq0001,seq0001_g000004,8
1,0,5,seq0001,seq0001_g000005,8
1,0,6,seq0001,seq0001_g000006,8
1,0,7,seq0001,seq0001_g000007,8
1,0,8,seq0001,seq0001_g000008,8
1,0,9,seq0001,seq0001_g000009,8
1,0,10,seq0001,seq0001_g000010,8
1,0,11,seq0001,seq0001_g000011,8
1,0,12,seq0001,seq0001_g000012,8
1,0,13,seq0001,seq0001_g000013,8
1,0,14,seq0001,seq0001_g000014,8
1,0,15,seq0001,seq0001_g000015,8
1,0,16,seq0001,seq0001_g000016,8
1,0,17,seq0001,seq0001_g000017,8
1,0,18,seq0001,seq0001_g000018,8
1,0,19,seq0001,seq0001_g000019,8
1,0,20,seq0001,seq0001_g000020,8
1,0,21,seq0001,seq0001_g000021,8
1,0,22,seq0001,seq0001_g000022,8
1,0,23,seq0001,seq0001_g000023,8
1,0,24,seq0001,seq0001_g000024,8
1,0,25,seq0001,seq0001_g000025,8
1,0,26,seq0001,seq0001_g000026,8
1,0,27,seq0001,seq0001_g000027,8
1,0,28,seq0001,seq0001_g000028,8
1,0,29,seq0001,seq0001_g000029,8
1,0,30,seq0001,seq0001_g000030,8
1,0,31,seq0001,seq0001_g000031,8
1,0,32,seq0001,seq0001_g000032,8
1,0,33,seq0001,seq0001_g000033,8
1,0,34,seq0001,seq0001_g000034,8
1,0,35,seq0001,seq0001_g000035,8
1,0,36,seq0001,seq0001_g000036,8
1,0,37,seq0001,seq0001_g000037,8
1,0,38,seq0001,seq0001_g000038,8
1,0,39,seq0001,seq0001_g000039,8
1,0,40,seq0001,seq0001_g000040,8
1,0,41,seq0001,seq0001_g000041,8
1,0,42,seq0001,seq0001_g000042,8
1,0,43,seq0001,seq0001_g000043,8
1,0,44,seq0001,seq0001_g000044,8
1,0,45,seq0001,seq0001_g000045,8
1,0,46,seq0001,seq0001_g000046,8
1,0,47,seq0001,seq0001_g000047,8
1,0,48,seq0001,seq0001_g000048,8
1,0,49,seq0001,seq0001_g000049,8
1,0,50,seq0001,seq0001_g000050,8
1,0,51,seq0001,seq0001_g000051,8
1,0,52,seq0001,seq0001_g000052,8
1,0,53,seq0001,seq0001_g000053,8
1,0,54,seq0001,seq0001_g000054,8
1,0,55,seq0001,seq0001_g000055,8
1,0,56,seq0001,seq0001_g000056,8
1,0,57,seq0001,seq0001_g000057,8
1,0,58,seq0001,seq0001_g000058,8
1,0,59,seq0001,seq0001_g000059,8
1,0,60,seq0001,seq0001_g000060,8
1,0,61,seq0001,seq0001_g000061,8
1,0,62,seq0001,seq0001_g000062,8
1,0,63,seq0001,seq0001_g000063,8
1,0,64,seq0001,seq0001_g000064,8
1,0,65,seq0001,seq0001_g000065,8
1,0,66,seq0001,seq0001_g000066,8
1,0,67,seq0001,seq0001_g000067,8
1,0,68,seq0001,seq0001_g000068,8
1,0,69,seq0001,seq0001_g000069,8
1,0,70,seq0001,seq0001_g000070,8
1,0,71,seq0001,seq0001_g000071,8
1,0,72,seq0001,seq0001_g000072,8
1,0,73,seq0001,seq0001_g000073,8
1,0,74,seq0001,seq0001_g000074,8
1,0,75,seq0001,seq0001_g000075,8
1,0,76,seq0001,seq0001_g000076,8
1,0,77,seq0001,seq0001_g000077,8
1,0,78,seq0001,seq0001_g000078,8
1,0,79,seq0001,seq0001_g000079,8
1,0,80,seq0001,seq0001_g000080,8
1,0,81,seq0001,seq0001_g000081,8
1,0,82,seq0001,seq0001_g000082,8
1,0,83,seq0001,seq0001_g000083,8
1,0,84,seq0001,seq0001_g000084,8
1,0,85,seq0001,seq0001_g000085,8
1,0,86,seq0001,seq0001_g000086,8
1,0,87,seq0001,seq0001_g000087,8
1,0,88,seq0001,seq0001_g000088,8
1,0,89,seq0001,seq0001_g000089,8
1,0,90,seq0001,seq0001_g000090,8
1,0,91,seq0001,seq0001_g000091,8
1,0,92,seq0001,seq0001_g000092,8
1,0,93,seq0001,seq0001_g000093,8
1,0,94,seq0001,seq0001_g000094,8
1,0,95,seq0001,seq0001_g000095,8
1,0,96,seq0001,seq0001_g000096,8
1,0,97,seq0001,seq0001_g000097,8
1,0,98,seq0001,seq0001_g000098,8
