stride,offset,sequence_id,full_clips,selected_clips
1,0,seq0001,400,400
1,0,seq0002,400,400
1,0,seq0003,400,400
1,0,seq0004,400,400
1,0,seq0005,400,400
1,0,seq0006,400,400
1,0,seq0008,400,400
1,0,seq0010,400,400
1,0,seq0011,400,400
1,0,seq0016,400,400
1,0,seq0017,400,400
1,0,seq0018,400,400
1,0,seq0019,400,400
1,0,seq0021,400,400
1,0,seq0022,400,400
1,0,seq0024,400,400
1,0,seq0025,400,400
1,0,seq0026,400,400
1,0,seq0027,400,400
1,0,seq0028,400,400
1,0,seq0029,400,400
1,0,seq0030,400,400
1,0,seq0032,400,400
1,0,seq0033,400,400
1,0,seq0034,400,400
1,0,seq0038,400,400
1,0,seq0039,400,400
1,0,seq0040,400,400
1,0,seq0041,400,400
1,0,seq0043,400,400
1,0,seq0044,400,400
1,0,seq0045,400,400
1,0,seq0046,400,400
1,0,seq0047,400,400
1,0,seq0049,400,400
1,0,seq0051,400,400
1,0,seq0052,400,400
1,0,seq0053,400,400
1,0,seq0056,400,400
1,0,seq0057,400,400
1,0,seq0058,400,400
1,0,seq0060,200,200
1,0,seq0061,400,400
1,0,seq0062,400,400
1,0,seq0063,400,400
1,0,seq0064,400,400
1,0,seq0069,400,400
1,0,seq0070,400,400
1,0,seq0071,400,400
1,0,seq0072,400,400
1,0,seq0073,400,400
1,0,seq0074,400,400
1,0,seq0076,400,400
1,0,seq0077,400,400
1,0,seq0079,400,400
1,0,seq0080,400,400
1,0,seq0081,400,400
1,0,seq0082,400,400
1,0,seq0083,400,400
1,0,seq0085,400,400
1,0,seq0086,400,400
1,0,seq0088,400,400
1,0,seq0089,400,400
1,0,seq0091,400,400
1,0,seq0093,400,400
1,0,seq0094,400,400
1,0,seq0095,400,400
1,0,seq0096,400,400
1,0,seq0097,400,400
1,0,seq0099,400,400
1,0,seq0100,400,400
1,0,seq0102,400,400
2,0,seq0001,400,200
2,0,seq0002,400,200
2,0,seq0003,400,200
2,0,seq0004,400,200
2,0,seq0005,400,200
2,0,seq0006,400,200
2,0,seq0008,400,200
2,0,seq0010,400,200
2,0,seq0011,400,200
2,0,seq0016,400,200
2,0,seq0017,400,200
2,0,seq0018,400,200
2,0,seq0019,400,200
2,0,seq0021,400,200
2,0,seq0022,400,200
2,0,seq0024,400,200
2,0,seq0025,400,200
2,0,seq0026,400,200
2,0,seq0027,400,200
2,0,seq0028,400,200
2,0,seq0029,400,200
2,0,seq0030,400,200
2,0,seq0032,400,200
2,0,seq0033,400,200
2,0,seq0034,400,200
2,0,seq0038,400,200
2,0,seq0039,400,200
2,0,seq0040,400,200
2,0,seq0041,400,200
2,0,seq0043,400,200
2,0,seq0044,400,200
2,0,seq0045,400,200
2,0,seq0046,400,200
2,0,seq0047,400,200
2,0,seq0049,400,200
2,0,seq0051,400,200
2,0,seq0052,400,200
2,0,seq0053,400,200
2,0,seq0056,400,200
2,0,seq0057,400,200
2,0,seq0058,400,200
2,0,seq0060,200,100
2,0,seq0061,400,200
2,0,seq0062,400,200
2,0,seq0063,400,200
2,0,seq0064,400,200
2,0,seq0069,400,200
2,0,seq0070,400,200
2,0,seq0071,400,200
2,0,seq0072,400,200
2,0,seq0073,400,200
2,0,seq0074,400,200
2,0,seq0076,400,200
2,0,seq0077,400,200
2,0,seq0079,400,200
2,0,seq0080,400,200
2,0,seq0081,400,200
2,0,seq0082,400,200
2,0,seq0083,400,200
2,0,seq0085,400,200
2,0,seq0086,400,200
2,0,seq0088,400,200
2,0,seq0089,400,200
2,0,seq0091,400,200
2,0,seq0093,400,200
2,0,seq0094,400,200
2,0,seq0095,400,200
2,0,seq0096,400,200
2,0,seq0097,400,200
2,0,seq0099,400,200
2,0,seq0100,400,200
2,0,seq0102,400,200
2,1,seq0001,400,200
2,1,seq0002,400,200
2,1,seq0003,400,200
2,1,seq0004,400,200
2,1,seq0005,400,200
2,1,seq0006,400,200
2,1,seq0008,400,200
2,1,seq0010,400,200
2,1,seq0011,400,200
2,1,seq0016,400,200
