split,clip_index,sequence_ids,sample_ids,query_times,query_count,selected_event_count
train,0,"[""seq0001""]","[""seq0001_g000000""]",[1706255121.6059043],1,0
train,399,"[""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001""]","[""seq0001_g000392"", ""seq0001_g000393"", ""seq0001_g000394"", ""seq0001_g000395"", ""seq0001_g000396"", ""seq0001_g000397"", ""seq0001_g000398"", ""seq0001_g000399""]","[1706255141.5990708, 1706255141.6479945, 1706255141.699014, 1706255141.7461157, 1706255141.79964, 1706255141.8458915, 1706255141.899282, 1706255141.945476]",8,160
train,400,"[""seq0002""]","[""seq0002_g000000""]",[1706255141.9995964],1,20
train,799,"[""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002""]","[""seq0002_g000392"", ""seq0002_g000393"", ""seq0002_g000394"", ""seq0002_g000395"", ""seq0002_g000396"", ""seq0002_g000397"", ""seq0002_g000398"", ""seq0002_g000399""]","[1706255162.2070136, 1706255162.2555392, 1706255162.3036492, 1706255162.3679583, 1706255162.4174104, 1706255162.4638982, 1706255162.510845, 1706255162.5590763]",8,160
train,800,"[""seq0003""]","[""seq0003_g000000""]",[1706255162.6037169],1,0
train,1199,"[""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003""]","[""seq0003_g000392"", ""seq0003_g000393"", ""seq0003_g000394"", ""seq0003_g000395"", ""seq0003_g000396"", ""seq0003_g000397"", ""seq0003_g000398"", ""seq0003_g000399""]","[1706255183.110752, 1706255183.1491578, 1706255183.2017846, 1706255183.2466033, 1706255183.3189692, 1706255183.3562849, 1706255183.4068716, 1706255183.446255]",8,160
train,1200,"[""seq0004""]","[""seq0004_g000000""]",[1706255183.497195],1,0
train,1599,"[""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004""]","[""seq0004_g000392"", ""seq0004_g000393"", ""seq0004_g000394"", ""seq0004_g000395"", ""seq0004_g000396"", ""seq0004_g000397"", ""seq0004_g000398"", ""seq0004_g000399""]","[1706255203.9487998, 1706255204.0008013, 1706255204.0510314, 1706255204.105138, 1706255204.146458, 1706255204.201763, 1706255204.2503588, 1706255204.2996771]",8,160
train,1600,"[""seq0005""]","[""seq0005_g000000""]",[1706255204.3490098],1,0
train,1999,"[""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005""]","[""seq0005_g000392"", ""seq0005_g000393"", ""seq0005_g000394"", ""seq0005_g000395"", ""seq0005_g000396"", ""seq0005_g000397"", ""seq0005_g000398"", ""seq0005_g000399""]","[1706255224.5512187, 1706255224.6424286, 1706255224.7113316, 1706255224.766972, 1706255224.8150187, 1706255224.8623223, 1706255224.9010916, 1706255224.9484851]",8,160
train,2000,"[""seq0006""]","[""seq0006_g000000""]",[1706255225.0021281],1,0
train,2399,"[""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006""]","[""seq0006_g000392"", ""seq0006_g000393"", ""seq0006_g000394"", ""seq0006_g000395"", ""seq0006_g000396"", ""seq0006_g000397"", ""seq0006_g000398"", ""seq0006_g000399""]","[1706255245.806023, 1706255245.847543, 1706255245.9031608, 1706255245.9506187, 1706255246.0021896, 1706255246.050636, 1706255246.105674, 1706255246.1518018]",8,160
train,2400,"[""seq0008""]","[""seq0008_g000000""]",[1706255266.9137864],1,0
