batch_index,clip_indices,sequence_ids,anchor_ordinals,query_occurrences,unique_queries,deduplicated_occurrences,dedup_ratio
0,"[0, 4]","[""seq0001""]","[0, 4]",6,5,1,0.16666666666666663
1,"[8, 12]","[""seq0001""]","[8, 12]",16,12,4,0.25
2,"[16, 20]","[""seq0001""]","[16, 20]",16,12,4,0.25
3,"[24, 28]","[""seq0001""]","[24, 28]",16,12,4,0.25
4,"[32, 36]","[""seq0001""]","[32, 36]",16,12,4,0.25
5,"[40, 44]","[""seq0001""]","[40, 44]",16,12,4,0.25
6,"[48, 52]","[""seq0001""]","[48, 52]",16,12,4,0.25
7,"[56, 60]","[""seq0001""]","[56, 60]",16,12,4,0.25
8,"[64, 68]","[""seq0001""]","[64, 68]",16,12,4,0.25
9,"[72, 76]","[""seq0001""]","[72, 76]",16,12,4,0.25
10,"[80, 84]","[""seq0001""]","[80, 84]",16,12,4,0.25
11,"[88, 92]","[""seq0001""]","[88, 92]",16,12,4,0.25
12,"[96, 100]","[""seq0001""]","[96, 100]",16,12,4,0.25
13,"[104, 108]","[""seq0001""]","[104, 108]",16,12,4,0.25
14,"[112, 116]","[""seq0001""]","[112, 116]",16,12,4,0.25
15,"[120, 124]","[""seq0001""]","[120, 124]",16,12,4,0.25
16,"[128, 132]","[""seq0001""]","[128, 132]",16,12,4,0.25
17,"[136, 140]","[""seq0001""]","[136, 140]",16,12,4,0.25
18,"[144, 148]","[""seq0001""]","[144, 148]",16,12,4,0.25
19,"[152, 156]","[""seq0001""]","[152, 156]",16,12,4,0.25
20,"[160, 164]","[""seq0001""]","[160, 164]",16,12,4,0.25
21,"[168, 172]","[""seq0001""]","[168, 172]",16,12,4,0.25
22,"[176, 180]","[""seq0001""]","[176, 180]",16,12,4,0.25
23,"[184, 188]","[""seq0001""]","[184, 188]",16,12,4,0.25
24,"[192, 196]","[""seq0001""]","[192, 196]",16,12,4,0.25
25,"[200, 204]","[""seq0001""]","[200, 204]",16,12,4,0.25
26,"[208, 212]","[""seq0001""]","[208, 212]",16,12,4,0.25
27,"[216, 220]","[""seq0001""]","[216, 220]",16,12,4,0.25
28,"[224, 228]","[""seq0001""]","[224, 228]",16,12,4,0.25
29,"[232, 236]","[""seq0001""]","[232, 236]",16,12,4,0.25
30,"[240, 244]","[""seq0001""]","[240, 244]",16,12,4,0.25
31,"[248, 252]","[""seq0001""]","[248, 252]",16,12,4,0.25
32,"[256, 260]","[""seq0001""]","[256, 260]",16,12,4,0.25
33,"[264, 268]","[""seq0001""]","[264, 268]",16,12,4,0.25
34,"[272, 276]","[""seq0001""]","[272, 276]",16,12,4,0.25
35,"[280, 284]","[""seq0001""]","[280, 284]",16,12,4,0.25
36,"[288, 292]","[""seq0001""]","[288, 292]",16,12,4,0.25
37,"[296, 300]","[""seq0001""]","[296, 300]",16,12,4,0.25
38,"[304, 308]","[""seq0001""]","[304, 308]",16,12,4,0.25
39,"[312, 316]","[""seq0001""]","[312, 316]",16,12,4,0.25
40,"[320, 324]","[""seq0001""]","[320, 324]",16,12,4,0.25
41,"[328, 332]","[""seq0001""]","[328, 332]",16,12,4,0.25
42,"[336, 340]","[""seq0001""]","[336, 340]",16,12,4,0.25
43,"[344, 348]","[""seq0001""]","[344, 348]",16,12,4,0.25
44,"[352, 356]","[""seq0001""]","[352, 356]",16,12,4,0.25
45,"[360, 364]","[""seq0001""]","[360, 364]",16,12,4,0.25
46,"[368, 372]","[""seq0001""]","[368, 372]",16,12,4,0.25
47,"[376, 380]","[""seq0001""]","[376, 380]",16,12,4,0.25
48,"[384, 388]","[""seq0001""]","[384, 388]",16,12,4,0.25
49,"[392, 396]","[""seq0001""]","[392, 396]",16,12,4,0.25
50,"[400, 404]","[""seq0002""]","[0, 4]",6,5,1,0.16666666666666663
51,"[408, 412]","[""seq0002""]","[8, 12]",16,12,4,0.25
52,"[416, 420]","[""seq0002""]","[16, 20]",16,12,4,0.25
53,"[424, 428]","[""seq0002""]","[24, 28]",16,12,4,0.25
54,"[432, 436]","[""seq0002""]","[32, 36]",16,12,4,0.25
55,"[440, 444]","[""seq0002""]","[40, 44]",16,12,4,0.25
56,"[448, 452]","[""seq0002""]","[48, 52]",16,12,4,0.25
57,"[456, 460]","[""seq0002""]","[56, 60]",16,12,4,0.25
58,"[464, 468]","[""seq0002""]","[64, 68]",16,12,4,0.25
59,"[472, 476]","[""seq0002""]","[72, 76]",16,12,4,0.25
60,"[480, 484]","[""seq0002""]","[80, 84]",16,12,4,0.25
61,"[488, 492]","[""seq0002""]","[88, 92]",16,12,4,0.25
62,"[496, 500]","[""seq0002""]","[96, 100]",16,12,4,0.25
63,"[504, 508]","[""seq0002""]","[104, 108]",16,12,4,0.25
64,"[512, 516]","[""seq0002""]","[112, 116]",16,12,4,0.25
65,"[520, 524]","[""seq0002""]","[120, 124]",16,12,4,0.25
66,"[528, 532]","[""seq0002""]","[128, 132]",16,12,4,0.25
67,"[536, 540]","[""seq0002""]","[136, 140]",16,12,4,0.25
68,"[544, 548]","[""seq0002""]","[144, 148]",16,12,4,0.25
69,"[552, 556]","[""seq0002""]","[152, 156]",16,12,4,0.25
70,"[560, 564]","[""seq0002""]","[160, 164]",16,12,4,0.25
71,"[568, 572]","[""seq0002""]","[168, 172]",16,12,4,0.25
72,"[576, 580]","[""seq0002""]","[176, 180]",16,12,4,0.25
73,"[584, 588]","[""seq0002""]","[184, 188]",16,12,4,0.25
74,"[592, 596]","[""seq0002""]","[192, 196]",16,12,4,0.25
75,"[600, 604]","[""seq0002""]","[200, 204]",16,12,4,0.25
76,"[608, 612]","[""seq0002""]","[208, 212]",16,12,4,0.25
77,"[616, 620]","[""seq0002""]","[216, 220]",16,12,4,0.25
78,"[624, 628]","[""seq0002""]","[224, 228]",16,12,4,0.25
79,"[632, 636]","[""seq0002""]","[232, 236]",16,12,4,0.25
80,"[640, 644]","[""seq0002""]","[240, 244]",16,12,4,0.25
81,"[648, 652]","[""seq0002""]","[248, 252]",16,12,4,0.25
82,"[656, 660]","[""seq0002""]","[256, 260]",16,12,4,0.25
83,"[664, 668]","[""seq0002""]","[264, 268]",16,12,4,0.25
84,"[672, 676]","[""seq0002""]","[272, 276]",16,12,4,0.25
85,"[680, 684]","[""seq0002""]","[280, 284]",16,12,4,0.25
86,"[688, 692]","[""seq0002""]","[288, 292]",16,12,4,0.25
87,"[696, 700]","[""seq0002""]","[296, 300]",16,12,4,0.25
88,"[704, 708]","[""seq0002""]","[304, 308]",16,12,4,0.25
89,"[712, 716]","[""seq0002""]","[312, 316]",16,12,4,0.25
90,"[720, 724]","[""seq0002""]","[320, 324]",16,12,4,0.25
91,"[728, 732]","[""seq0002""]","[328, 332]",16,12,4,0.25
92,"[736, 740]","[""seq0002""]","[336, 340]",16,12,4,0.25
93,"[744, 748]","[""seq0002""]","[344, 348]",16,12,4,0.25
94,"[752, 756]","[""seq0002""]","[352, 356]",16,12,4,0.25
95,"[760, 764]","[""seq0002""]","[360, 364]",16,12,4,0.25
96,"[768, 772]","[""seq0002""]","[368, 372]",16,12,4,0.25
97,"[776, 780]","[""seq0002""]","[376, 380]",16,12,4,0.25
98,"[784, 788]","[""seq0002""]","[384, 388]",16,12,4,0.25
99,"[792, 796]","[""seq0002""]","[392, 396]",16,12,4,0.25
100,"[800, 804]","[""seq0003""]","[0, 4]",6,5,1,0.16666666666666663
101,"[808, 812]","[""seq0003""]","[8, 12]",16,12,4,0.25
102,"[816, 820]","[""seq0003""]","[16, 20]",16,12,4,0.25
103,"[824, 828]","[""seq0003""]","[24, 28]",16,12,4,0.25
104,"[832, 836]","[""seq0003""]","[32, 36]",16,12,4,0.25
105,"[840, 844]","[""seq0003""]","[40, 44]",16,12,4,0.25
106,"[848, 852]","[""seq0003""]","[48, 52]",16,12,4,0.25
107,"[856, 860]","[""seq0003""]","[56, 60]",16,12,4,0.25
108,"[864, 868]","[""seq0003""]","[64, 68]",16,12,4,0.25
109,"[872, 876]","[""seq0003""]","[72, 76]",16,12,4,0.25
110,"[880, 884]","[""seq0003""]","[80, 84]",16,12,4,0.25
111,"[888, 892]","[""seq0003""]","[88, 92]",16,12,4,0.25
112,"[896, 900]","[""seq0003""]","[96, 100]",16,12,4,0.25
113,"[904, 908]","[""seq0003""]","[104, 108]",16,12,4,0.25
114,"[912, 916]","[""seq0003""]","[112, 116]",16,12,4,0.25
115,"[920, 924]","[""seq0003""]","[120, 124]",16,12,4,0.25
116,"[928, 932]","[""seq0003""]","[128, 132]",16,12,4,0.25
117,"[936, 940]","[""seq0003""]","[136, 140]",16,12,4,0.25
118,"[944, 948]","[""seq0003""]","[144, 148]",16,12,4,0.25
119,"[952, 956]","[""seq0003""]","[152, 156]",16,12,4,0.25
120,"[960, 964]","[""seq0003""]","[160, 164]",16,12,4,0.25
121,"[968, 972]","[""seq0003""]","[168, 172]",16,12,4,0.25
122,"[976, 980]","[""seq0003""]","[176, 180]",16,12,4,0.25
123,"[984, 988]","[""seq0003""]","[184, 188]",16,12,4,0.25
124,"[992, 996]","[""seq0003""]","[192, 196]",16,12,4,0.25
125,"[1000, 1004]","[""seq0003""]","[200, 204]",16,12,4,0.25
126,"[1008, 1012]","[""seq0003""]","[208, 212]",16,12,4,0.25
127,"[1016, 1020]","[""seq0003""]","[216, 220]",16,12,4,0.25
128,"[1024, 1028]","[""seq0003""]","[224, 228]",16,12,4,0.25
129,"[1032, 1036]","[""seq0003""]","[232, 236]",16,12,4,0.25
130,"[1040, 1044]","[""seq0003""]","[240, 244]",16,12,4,0.25
131,"[1048, 1052]","[""seq0003""]","[248, 252]",16,12,4,0.25
132,"[1056, 1060]","[""seq0003""]","[256, 260]",16,12,4,0.25
133,"[1064, 1068]","[""seq0003""]","[264, 268]",16,12,4,0.25
134,"[1072, 1076]","[""seq0003""]","[272, 276]",16,12,4,0.25
135,"[1080, 1084]","[""seq0003""]","[280, 284]",16,12,4,0.25
136,"[1088, 1092]","[""seq0003""]","[288, 292]",16,12,4,0.25
137,"[1096, 1100]","[""seq0003""]","[296, 300]",16,12,4,0.25
138,"[1104, 1108]","[""seq0003""]","[304, 308]",16,12,4,0.25
139,"[1112, 1116]","[""seq0003""]","[312, 316]",16,12,4,0.25
140,"[1120, 1124]","[""seq0003""]","[320, 324]",16,12,4,0.25
141,"[1128, 1132]","[""seq0003""]","[328, 332]",16,12,4,0.25
142,"[1136, 1140]","[""seq0003""]","[336, 340]",16,12,4,0.25
143,"[1144, 1148]","[""seq0003""]","[344, 348]",16,12,4,0.25
144,"[1152, 1156]","[""seq0003""]","[352, 356]",16,12,4,0.25
145,"[1160, 1164]","[""seq0003""]","[360, 364]",16,12,4,0.25
146,"[1168, 1172]","[""seq0003""]","[368, 372]",16,12,4,0.25
147,"[1176, 1180]","[""seq0003""]","[376, 380]",16,12,4,0.25
148,"[1184, 1188]","[""seq0003""]","[384, 388]",16,12,4,0.25
149,"[1192, 1196]","[""seq0003""]","[392, 396]",16,12,4,0.25
150,"[1200, 1204]","[""seq0004""]","[0, 4]",6,5,1,0.16666666666666663
151,"[1208, 1212]","[""seq0004""]","[8, 12]",16,12,4,0.25
152,"[1216, 1220]","[""seq0004""]","[16, 20]",16,12,4,0.25
153,"[1224, 1228]","[""seq0004""]","[24, 28]",16,12,4,0.25
154,"[1232, 1236]","[""seq0004""]","[32, 36]",16,12,4,0.25
155,"[1240, 1244]","[""seq0004""]","[40, 44]",16,12,4,0.25
156,"[1248, 1252]","[""seq0004""]","[48, 52]",16,12,4,0.25
157,"[1256, 1260]","[""seq0004""]","[56, 60]",16,12,4,0.25
158,"[1264, 1268]","[""seq0004""]","[64, 68]",16,12,4,0.25
159,"[1272, 1276]","[""seq0004""]","[72, 76]",16,12,4,0.25
160,"[1280, 1284]","[""seq0004""]","[80, 84]",16,12,4,0.25
161,"[1288, 1292]","[""seq0004""]","[88, 92]",16,12,4,0.25
162,"[1296, 1300]","[""seq0004""]","[96, 100]",16,12,4,0.25
163,"[1304, 1308]","[""seq0004""]","[104, 108]",16,12,4,0.25
164,"[1312, 1316]","[""seq0004""]","[112, 116]",16,12,4,0.25
165,"[1320, 1324]","[""seq0004""]","[120, 124]",16,12,4,0.25
166,"[1328, 1332]","[""seq0004""]","[128, 132]",16,12,4,0.25
167,"[1336, 1340]","[""seq0004""]","[136, 140]",16,12,4,0.25
168,"[1344, 1348]","[""seq0004""]","[144, 148]",16,12,4,0.25
169,"[1352, 1356]","[""seq0004""]","[152, 156]",16,12,4,0.25
170,"[1360, 1364]","[""seq0004""]","[160, 164]",16,12,4,0.25
171,"[1368, 1372]","[""seq0004""]","[168, 172]",16,12,4,0.25
172,"[1376, 1380]","[""seq0004""]","[176, 180]",16,12,4,0.25
173,"[1384, 1388]","[""seq0004""]","[184, 188]",16,12,4,0.25
174,"[1392, 1396]","[""seq0004""]","[192, 196]",16,12,4,0.25
175,"[1400, 1404]","[""seq0004""]","[200, 204]",16,12,4,0.25
176,"[1408, 1412]","[""seq0004""]","[208, 212]",16,12,4,0.25
177,"[1416, 1420]","[""seq0004""]","[216, 220]",16,12,4,0.25
178,"[1424, 1428]","[""seq0004""]","[224, 228]",16,12,4,0.25
179,"[1432, 1436]","[""seq0004""]","[232, 236]",16,12,4,0.25
180,"[1440, 1444]","[""seq0004""]","[240, 244]",16,12,4,0.25
181,"[1448, 1452]","[""seq0004""]","[248, 252]",16,12,4,0.25
182,"[1456, 1460]","[""seq0004""]","[256, 260]",16,12,4,0.25
183,"[1464, 1468]","[""seq0004""]","[264, 268]",16,12,4,0.25
184,"[1472, 1476]","[""seq0004""]","[272, 276]",16,12,4,0.25
185,"[1480, 1484]","[""seq0004""]","[280, 284]",16,12,4,0.25
186,"[1488, 1492]","[""seq0004""]","[288, 292]",16,12,4,0.25
187,"[1496, 1500]","[""seq0004""]","[296, 300]",16,12,4,0.25
188,"[1504, 1508]","[""seq0004""]","[304, 308]",16,12,4,0.25
189,"[1512, 1516]","[""seq0004""]","[312, 316]",16,12,4,0.25
190,"[1520, 1524]","[""seq0004""]","[320, 324]",16,12,4,0.25
191,"[1528, 1532]","[""seq0004""]","[328, 332]",16,12,4,0.25
192,"[1536, 1540]","[""seq0004""]","[336, 340]",16,12,4,0.25
193,"[1544, 1548]","[""seq0004""]","[344, 348]",16,12,4,0.25
194,"[1552, 1556]","[""seq0004""]","[352, 356]",16,12,4,0.25
195,"[1560, 1564]","[""seq0004""]","[360, 364]",16,12,4,0.25
196,"[1568, 1572]","[""seq0004""]","[368, 372]",16,12,4,0.25
197,"[1576, 1580]","[""seq0004""]","[376, 380]",16,12,4,0.25
198,"[1584, 1588]","[""seq0004""]","[384, 388]",16,12,4,0.25
199,"[1592, 1596]","[""seq0004""]","[392, 396]",16,12,4,0.25
200,"[1600, 1604]","[""seq0005""]","[0, 4]",6,5,1,0.16666666666666663
