voxel_index,batch_index,voxel_coord,occupancy,occupied_slots,head0,head1
0,1,25 -38 86,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
1,1,26 -38 86,00001000,1,0 0 0 0 1 0 0 0,0 0 0 0 1 0 0 0
2,2,-128 23 17,00100000,1,0 0 1 0 0 0 0 0,0 0 1 0 0 0 0 0
3,2,-128 24 13,00000001,1,0 0 0 0 0 0 0 1,0 0 0 0 0 0 0 1
4,2,-128 24 17,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
5,2,-128 24 19,00000001,1,0 0 0 0 0 0 0 1,0 0 0 0 0 0 0 1
6,2,-128 24 22,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
7,2,-128 24 24,01000000,1,0 1 0 0 0 0 0 0,0 1 0 0 0 0 0 0
8,2,-128 24 38,00010000,1,0 0 0 1 0 0 0 0,0 0 0 1 0 0 0 0
9,2,-128 24 43,00010000,1,0 0 0 1 0 0 0 0,0 0 0 1 0 0 0 0
10,2,-128 24 56,00100000,1,0 0 1 0 0 0 0 0,0 0 1 0 0 0 0 0
11,2,-128 25 36,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
12,2,-128 25 48,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
13,2,-128 26 20,00000100,1,0 0 0 0 0 1 0 0,0 0 0 0 0 1 0 0
14,2,-128 26 27,00000001,1,0 0 0 0 0 0 0 1,0 0 0 0 0 0 0 1
15,2,-128 26 41,00001000,1,0 0 0 0 1 0 0 0,0 0 0 0 1 0 0 0
16,2,-128 26 61,00001000,1,0 0 0 0 1 0 0 0,0 0 0 0 1 0 0 0
17,2,-127 27 13,00010000,1,0 0 0 1 0 0 0 0,0 0 0 1 0 0 0 0
18,2,-127 27 17,00100000,1,0 0 1 0 0 0 0 0,0 0 1 0 0 0 0 0
19,2,-127 27 19,00010000,1,0 0 0 1 0 0 0 0,0 0 0 1 0 0 0 0
20,2,-127 27 22,00100000,1,0 0 1 0 0 0 0 0,0 0 1 0 0 0 0 0
21,2,-127 27 24,01000000,1,0 1 0 0 0 0 0 0,0 1 0 0 0 0 0 0
22,2,-127 27 38,10000000,1,1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0
23,2,-127 29 17,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
24,2,-127 29 31,00100000,1,0 0 1 0 0 0 0 0,0 0 1 0 0 0 0 0
25,2,-127 29 41,10000000,1,1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0
26,2,-111 -69 25,00001000,1,0 0 0 0 1 0 0 0,0 0 0 0 1 0 0 0
27,2,-108 -58 19,00000001,1,0 0 0 0 0 0 0 1,0 0 0 0 0 0 0 1
28,2,-107 -56 15,01000000,1,0 1 0 0 0 0 0 0,0 1 0 0 0 0 0 0
29,2,-107 -55 12,01000000,1,0 1 0 0 0 0 0 0,0 1 0 0 0 0 0 0
30,2,-107 -55 13,01000000,1,0 1 0 0 0 0 0 0,0 1 0 0 0 0 0 0
31,2,-107 -53 15,00000010,1,0 0 0 0 0 0 1 0,0 0 0 0 0 0 1 0
