model,variant,seed,best_epoch,val_accuracy,val_macro_f1,recall_mavic2,recall_mavic3,recall_avata,recall_m300,recall_pham4,checkpoint_path
Concat,concat,0,7,0.8072289157,0.7585586022,0.9183673469,0.7741935484,0.9734513274,0.3114754098,0.8395061728,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/C_bbox_concat_seed0_concat_s0_20260906_151116/best.pt
Concat,concat,1,7,0.8506024096,0.8036030299,0.9183673469,0.8225806452,0.9646017699,0.3606557377,1.0000000000,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/C_bbox_concat_seed1_concat_s1_20260906_174709/best.pt
Concat,concat,2,9,0.8530120482,0.8149814376,0.9183673469,0.9193548387,0.9115044248,0.3770491803,1.0000000000,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/C_bbox_concat_seed2_concat_s2_20260906_211742/best.pt
Concat,concat,mean,,0.8369477912,0.7923810232,0.9183673469,0.8387096774,0.9498525074,0.3497267760,0.9465020576,
Concat,concat,sample_std,,0.0257654858,0.0298384678,0.0000000000,0.0739125112,0.0335038840,0.0341256721,0.0926611543,
Learned Query,learned_query,0,2,0.8409638554,0.8112387164,0.8469387755,0.5645161290,1.0000000000,0.6557377049,0.9629629630,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/D_bbox_learned_query_seed0_learned_query_s0_20260906_155830/best.pt
Learned Query,learned_query,1,10,0.7566265060,0.7120444094,0.3571428571,1.0000000000,0.9911504425,0.3934426230,1.0000000000,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/D_bbox_learned_query_seed1_learned_query_s1_20260906_213854/best.pt
Learned Query,learned_query,2,10,0.7662650602,0.7379267999,0.3163265306,1.0000000000,1.0000000000,0.5081967213,1.0000000000,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/D_bbox_learned_query_seed2_learned_query_s2_20260906_220628/best.pt
Learned Query,learned_query,mean,,0.7879518072,0.7537366419,0.5068027211,0.8548387097,0.9970501475,0.5191256831,0.9876543210,
Learned Query,learned_query,sample_std,,0.0461620339,0.0514523174,0.2952725771,0.2514267301,0.0051092944,0.1314886275,0.0213833433,
RDQ,rdq,0,5,0.8915662651,0.8673159313,0.9897959184,0.5645161290,1.0000000000,0.7213114754,1.0000000000,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/E_bbox_rdq_seed0_rdq_s0_20260906_161632/best.pt
RDQ,rdq,1,7,0.8698795181,0.8396376153,0.8979591837,0.8870967742,0.9469026549,0.5081967213,0.9876543210,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/E_bbox_rdq_seed1_rdq_s1_20260906_222415/best.pt
RDQ,rdq,2,7,0.8409638554,0.7810822528,1.0000000000,0.5645161290,1.0000000000,0.3606557377,1.0000000000,/home/jasoncui/datasets/MMAUD/rdq_uav_experiment/outputs/E_bbox_rdq_seed2_rdq_s2_20260906_224308/best.pt
RDQ,rdq,mean,,0.8674698795,0.8293452665,0.9625850340,0.6720430108,0.9823008850,0.5300546448,0.9958847737,
RDQ,rdq,sample_std,,0.0253871175,0.0440285267,0.0561996995,0.1862420223,0.0306557665,0.1813186888,0.0071277811,
