variant,epoch,train_center_l1,mean_center_error_px,median_center_error_px,p_error_lt_2px,p_error_lt_4px,p_error_lt_8px,center_l1_loss,samples,is_best,epochs_without_improvement,elapsed_seconds
full_rdq,1,0.08890001534018666,46.10785675048828,49.07090759277344,0.004819277208298445,0.012048192322254181,0.01927710883319378,0.07955684351274767,415,1,0,64.64541771099903
full_rdq,2,0.06801986985374242,42.9406623840332,37.45518493652344,0.004819277208298445,0.00963855441659689,0.026506023481488228,0.07685352481273283,415,1,0,125.17962113302201
full_rdq,3,0.06405270035611466,41.852787017822266,35.883277893066406,0.004819277208298445,0.012048192322254181,0.033734939992427826,0.07468791722533215,415,1,0,182.81340338801965
full_rdq,4,0.05868491707951762,41.89957046508789,35.93971633911133,0.0,0.0,0.028915662318468094,0.07428585727171726,415,0,1,240.94542403204832
full_rdq,5,0.050544533994980156,35.530731201171875,33.53944778442383,0.014457831159234047,0.040963854640722275,0.0746987983584404,0.06225186216543956,415,1,0,298.59267734503374
full_rdq,6,0.04100809624651447,36.95439910888672,30.470090866088867,0.028915662318468094,0.040963854640722275,0.07710843533277512,0.06538307200892862,415,0,1,357.0735589960823
full_rdq,7,0.03387284072232433,41.59049606323242,41.20158004760742,0.0,0.0,0.048192769289016724,0.07118518876742168,415,0,2,414.98412614897825
full_rdq,8,0.02843953564297408,37.073299407958984,36.58470153808594,0.004819277208298445,0.01927710883319378,0.10602409392595291,0.06307661828685956,415,0,3,472.97290583502036
full_rdq,9,0.02625116190756671,35.61592102050781,32.704044342041016,0.0024096386041492224,0.0072289155796170235,0.0746987983584404,0.062486334890127185,415,0,4,532.0976379379863
full_rdq,10,0.02530597007717006,39.699981689453125,35.627079010009766,0.0024096386041492224,0.012048192322254181,0.06746987998485565,0.06927530718855111,415,0,5,589.9789929430699
full_rdq,11,0.025821077622822486,35.252838134765625,35.478939056396484,0.0024096386041492224,0.06746987998485565,0.1807228922843933,0.06021812267332192,415,1,0,647.1522411640035
full_rdq,12,0.024431261874269694,32.60752487182617,29.42051124572754,0.0,0.01927710883319378,0.13975903391838074,0.05686813830341919,415,1,0,705.1707049780525
full_rdq,13,0.024414017592789605,33.633121490478516,30.799785614013672,0.0024096386041492224,0.00963855441659689,0.06987951695919037,0.05878186480826642,415,0,1,762.9113720339956
full_rdq,14,0.023670237947953865,33.86919403076172,35.24053955078125,0.0,0.012048192322254181,0.040963854640722275,0.057173129988003925,415,0,2,819.7820509179728
full_rdq,15,0.020364904557936825,35.405704498291016,37.08855438232422,0.0072289155796170235,0.01927710883319378,0.0891566276550293,0.060502864680735464,415,0,3,877.0475489100209
full_rdq,16,0.020712643396109343,35.66785430908203,34.132869720458984,0.0,0.0,0.03132530301809311,0.06306604281606444,415,0,4,934.0737721869955
