subset_order,manifest_index,sample_id,class_name
0,1198,Avata_001161,Avata
1,969,Avata_000792,Avata
2,286,Mavic2_000915,Mavic2
3,1217,Avata_001180,Avata
4,1678,Pham4_000695,Pham4
5,251,Mavic2_000879,Mavic2
6,1294,M300_000162,M300
7,1095,Avata_001058,Avata
8,78,Mavic2_000300,Mavic2
9,1288,M300_000156,M300
10,212,Mavic2_000723,Mavic2
11,1036,Avata_000860,Avata
12,1486,M300_000680,M300
13,457,Mavic3_000368,Mavic3
14,1695,Pham4_000712,Pham4
15,437,Mavic3_000173,Mavic3
16,927,Avata_000750,Avata
17,1670,Pham4_000687,Pham4
18,1065,Avata_001028,Avata
19,1148,Avata_001111,Avata
20,377,Mavic3_000113,Mavic3
21,1530,Pham4_000090,Pham4
22,659,Mavic3_000712,Mavic3
23,1819,Pham4_000836,Pham4
24,599,Mavic3_000572,Mavic3
25,1397,M300_000591,M300
26,971,Avata_000794,Avata
27,339,Mavic2_001073,Mavic2
28,515,Mavic3_000426,Mavic3
29,73,Mavic2_000295,Mavic2
30,1814,Pham4_000831,Pham4
31,1792,Pham4_000809,Pham4
32,175,Mavic2_000686,Mavic2
33,1192,Avata_001155,Avata
34,597,Mavic3_000570,Mavic3
35,1281,M300_000148,M300
36,271,Mavic2_000899,Mavic2
37,1158,Avata_001121,Avata
38,1680,Pham4_000697,Pham4
39,509,Mavic3_000420,Mavic3
40,258,Mavic2_000886,Mavic2
41,661,Mavic3_000714,Mavic3
42,775,Avata_000333,Avata
43,622,Mavic3_000595,Mavic3
44,327,Mavic2_001061,Mavic2
45,576,Mavic3_000549,Mavic3
46,843,Avata_000666,Avata
47,582,Mavic3_000555,Mavic3
48,1181,Avata_001144,Avata
49,813,Avata_000372,Avata
50,968,Avata_000791,Avata
51,912,Avata_000735,Avata
52,1094,Avata_001057,Avata
53,467,Mavic3_000378,Mavic3
54,784,Avata_000342,Avata
55,743,Avata_000300,Avata
56,647,Mavic3_000700,Mavic3
57,174,Mavic2_000685,Mavic2
58,1026,Avata_000850,Avata
59,472,Mavic3_000383,Mavic3
60,0,Mavic2_000194,Mavic2
61,1627,Pham4_000417,Pham4
62,82,Mavic2_000304,Mavic2
63,138,Mavic2_000649,Mavic2
64,1630,Pham4_000420,Pham4
65,35,Mavic2_000229,Mavic2
66,393,Mavic3_000129,Mavic3
67,617,Mavic3_000590,Mavic3
68,799,Avata_000358,Avata
69,556,Mavic3_000529,Mavic3
70,795,Avata_000354,Avata
71,838,Avata_000661,Avata
72,10,Mavic2_000204,Mavic2
73,1511,M300_000781,M300
74,1458,M300_000652,M300
75,619,Mavic3_000592,Mavic3
