variant,out_index,step,elapsed_seconds,center_error_px_mean,center_error_px_median,center_error_lt_2px,center_error_lt_4px,mean_iou,median_iou,recall_iou_0.5,position_error_mean_m,bbox_l1,position_loss,box_head_grad_norm,peak_gpu_memory_mb,visual_token_count,fusion,parameter_count_total,parameter_count_trainable
stride8_only,2,50,16.725793585996144,17.668016529083253,17.234121322631836,0.0,0.0,0.09148344416171313,0.07677081599831581,0.0,0.767513221502304,0.020895074866712094,0.005026116990484298,6.664260387420654,0.0,3456,none,1617479,1617479
stride8_only,2,100,33.698286203085445,16.328004121780396,15.874946594238281,0.0,0.0,0.11243104077875614,0.09228743612766266,0.0,0.5433984644711017,0.01736512826755643,0.0029801452008541675,6.333283424377441,0.0,3456,none,1617479,1617479
stride8_only,2,150,50.5046822730219,14.735450553894044,10.644028663635254,0.0,0.0,0.20689365305006505,0.24574977904558182,0.0,0.6190537318587304,0.014098583813756704,0.003604964108671993,4.9097208976745605,0.0,3456,none,1617479,1617479
stride8_only,2,200,67.22186567098834,24.48970251083374,21.43643856048584,0.0,0.0,0.0,0.0,0.0,0.46409584432840345,0.01565251676365733,0.0024586294079199434,5.848324775695801,0.0,3456,none,1617479,1617479
stride8_only,2,250,83.86948879703414,23.288099002838134,19.273475646972656,0.0,0.0,0.00437879809178412,0.0,0.0,0.3710696898400784,0.0162225685082376,0.002167832831037231,5.5839643478393555,0.0,3456,none,1617479,1617479
stride8_only,2,300,100.84527926205192,8.701651430130005,4.981297969818115,0.0,0.2,0.44640807062387466,0.5269339978694916,0.65,0.3948488779366016,0.009522090852260589,0.0023186895821709188,5.566075801849365,0.0,3456,none,1617479,1617479
stride8_only,2,350,117.54731788102072,16.55037670135498,17.371204376220703,0.0,0.0,0.08651440925896167,0.05944294109940529,0.0,0.4982190228998661,0.016435283236205578,0.002417223874363117,5.522809028625488,0.0,3456,none,1617479,1617479
stride8_only,2,400,134.33820534299593,8.213238167762757,5.114265203475952,0.05,0.2,0.425515253841877,0.48698459565639496,0.45,0.4313437882810831,0.009346361039206386,0.001983018913597334,4.4508562088012695,0.0,3456,none,1617479,1617479
stride8_only,2,450,151.0518178109778,14.277673983573914,15.687618732452393,0.0,0.0,0.11566122506519605,0.06254742480814457,0.05,0.5420197203755379,0.014646579511463642,0.0021034063305705787,4.411468982696533,0.0,3456,none,1617479,1617479
stride8_only,2,500,167.80016282806173,6.891256763041019,3.806139588356018,0.1,0.6,0.5071070298552514,0.6097550094127655,0.75,0.2972171761095524,0.007791829435154796,0.0011508132563903927,4.224581241607666,0.0,3456,none,1617479,1617479
stride8_only,2,550,184.57826107705478,8.746129715442658,9.097655773162842,0.0,0.1,0.34534771032631395,0.31057217717170715,0.15,0.39488113969564437,0.009880323731340467,0.001422647965955548,5.0480780601501465,0.0,3456,none,1617479,1617479
stride8_only,2,600,201.13292388699483,10.497372770309449,8.325141429901123,0.0,0.0,0.28557393457740543,0.3530988246202469,0.0,0.3280843455344439,0.009949363395571708,0.0008227025507949292,5.142971515655518,0.0,3456,none,1617479,1617479
minimal_fpn,2,50,22.4920080130687,31.168107891082762,28.278593063354492,0.0,0.0,0.0,0.0,0.0,0.6679388269782066,0.0200663005001843,0.004496792145073414,6.037265300750732,0.0,3456,minimal_fpn,3848775,3848775
