epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.092,1.99037,8.6265,1.17515,0.83662,0.77446,0.83365,0.33749,2.03489,1.29524,1.01879,0.000664659,0.000664659,0.000664659
2,2104.04,1.93248,0.97894,1.19182,0.69462,0.62302,0.66558,0.24344,2.34836,1.61697,1.0844,0.00131815,0.00131815,0.00131815
3,3288.03,1.88401,0.92074,1.17098,0.62376,0.55418,0.58077,0.20802,2.36074,1.52844,1.12249,0.00195843,0.00195843,0.00195843
4,4369.18,1.83632,0.89364,1.15287,0.86215,0.80361,0.8445,0.32958,2.0013,1.00349,1.00865,0.0019406,0.0019406,0.0019406
5,5582.55,1.86153,1.10421,1.1493,0.85302,0.68779,0.79483,0.3341,2.05841,1.15955,1.01792,0.0019208,0.0019208,0.0019208
6,6653.55,1.7875,0.82817,1.12778,0.8385,0.77936,0.81559,0.34197,2.10319,1.01194,1.01989,0.001901,0.001901,0.001901
7,7822.11,1.79625,0.81696,1.12744,0.77553,0.73589,0.7926,0.32225,2.06574,1.02741,1.00677,0.0018812,0.0018812,0.0018812
8,8964.3,1.75651,0.79282,1.09967,0.9072,0.78442,0.82791,0.33186,2.14007,1.14358,1.02702,0.0018614,0.0018614,0.0018614
9,10117.8,1.76049,0.76756,1.08927,0.92261,0.8307,0.87426,0.3709,2.00999,0.91966,1.00652,0.0018416,0.0018416,0.0018416
10,11216.5,1.72877,0.75708,1.09149,0.93484,0.84424,0.87613,0.36755,2.03532,0.91423,1.00451,0.0018218,0.0018218,0.0018218
11,12365.5,1.73701,0.74758,1.08896,0.73981,0.67381,0.75132,0.30886,2.13628,1.38956,1.03227,0.001802,0.001802,0.001802
12,13457.3,1.72608,0.72116,1.07543,0.92106,0.84278,0.869,0.38373,2.02528,0.88814,0.99243,0.0017822,0.0017822,0.0017822
13,14590.2,1.72057,0.73653,1.08945,0.9041,0.76862,0.83799,0.34686,2.11448,1.12116,1.02389,0.0017624,0.0017624,0.0017624
14,15697.6,1.68741,0.70867,1.08806,0.76374,0.75395,0.81091,0.33943,2.05787,1.09008,0.99966,0.0017426,0.0017426,0.0017426
15,16847.9,1.6808,0.70622,1.07371,0.90785,0.75847,0.84926,0.36816,1.98786,1.06628,0.99188,0.0017228,0.0017228,0.0017228
16,17951.1,1.69715,0.71395,1.08406,0.91541,0.80615,0.84649,0.3742,1.99769,1.03021,0.99809,0.001703,0.001703,0.001703
17,19089.4,1.67443,0.71207,1.0772,0.92896,0.8265,0.88187,0.38618,1.97454,0.91371,0.98794,0.0016832,0.0016832,0.0016832
18,20205.9,1.65488,0.68623,1.0549,0.89104,0.82142,0.8465,0.35164,2.07975,0.96021,1.01085,0.0016634,0.0016634,0.0016634
19,21337.2,1.70197,0.69722,1.07981,0.92602,0.80529,0.84386,0.35014,2.09068,1.07423,1.01864,0.0016436,0.0016436,0.0016436
20,22452.7,1.64043,0.67522,1.05648,0.84648,0.76975,0.82309,0.33357,2.10228,0.99949,1.02715,0.0016238,0.0016238,0.0016238
21,23746.3,1.66859,0.70032,1.06451,0.90774,0.86343,0.89296,0.38155,2.00474,0.85508,0.99232,0.001604,0.001604,0.001604
22,25362.1,1.65633,0.67715,1.05022,0.9333,0.90068,0.92329,0.39907,1.9939,0.80063,1.00017,0.0015842,0.0015842,0.0015842
23,27400.8,1.64547,0.67158,1.05542,0.90914,0.83409,0.89171,0.38808,1.95941,0.87367,0.98772,0.0015644,0.0015644,0.0015644
24,29052.2,1.65866,0.67508,1.05138,0.91003,0.82197,0.87314,0.38413,1.9755,0.96435,0.98343,0.0015446,0.0015446,0.0015446
